'a'deng'mu'niu'quan 阿登牧牛犬
'a'fen'ping'si'che'quan 阿芬平斯澈犬
'a'fu'han'lie'quan 阿富汗猎犬
'a'gen'ting'ao 阿根廷獒
'a'ke'ba'shi'quan 阿克巴士犬
'a'la'pa'ha'lan'dou'niu 阿拉帕哈兰斗牛
'a'la'si'jia'ke'li'kai 阿拉斯加克利凯
'a'li'ai'ri'quan 阿里埃日犬
'a'li'ai'ri'xiang'dao'quan 阿里埃日向导犬
'a'peng'ce'er'shan'quan 阿彭策尔山犬
'a'sha'wa'quan 阿沙瓦犬
'a'tu'wa'quan 阿图瓦犬
'ai'bi'zan'lie'quan 艾比赞猎犬
'ai'di'quan 爱迪犬
'ai'er'lan'hong'bai'lie'quan 爱尔兰红白猎犬
'ai'er'lan'lan'quan'geng 爱尔兰蓝犭更
'ai'er'lan'quan'geng'quan 爱尔兰犭更犬
'ai'er'lan'shui'huang 爱尔兰水獚
'ai'li'quan'geng'quan 艾里犭更犬
'ai'nu'quan 艾努犬
'ai'shen'si'te'la'shan'quan 埃什斯特拉山犬
'ai'te'la'ke'ni'ke'quan 艾特拉科尼克犬
'an'na'tuo'li'ya'mu'yang 安纳托利亚牧羊
'ao'da'li'ya'kai'er'pi 澳大利亚凯尔皮
'ao'da'li'ya'mu'niu'quan 澳大利亚牧牛犬
'ao'da'li'ya'mu'yang'quan 澳大利亚牧羊犬
'ao'da'li'ya'quan'geng'quan 澳大利亚犭更犬
'ao'da'li'ya'rong'mao'quan'geng 澳大利亚绒毛犭更
'ao'di'li'ping'si'che'quan 奥地利平斯澈犬
'ao'zhou'ye'quan 澳洲野犬
'ba'er'gan'lie'quan 巴尔干猎犬
'ba'fa'li'ya'shan'di'quan 巴伐利亚山地犬
'ba'ji'du'lie'quan 巴吉度猎犬
'ba'xi'ao'bo'er'duo'pu'tao'hong'quan 巴西獒波尔多葡萄红犬
'ba'xi'quan'geng'quan 巴西犭更犬
'ba'xin'ji'quan 巴辛吉犬
'ban'dian'gou 斑点狗
'bei'jing'quan 北京犬
'bei'ling'dun'quan'geng'quan 贝灵顿犭更犬
'bei'mei'zhou'mu'yang'quan 北美洲牧羊犬
'bei'ou'rong'mao'quan 北欧绒毛犬
'bi'ge'lie'quan 比格猎犬
'bi'li'niu'si'ao 比利牛斯獒
'bi'li'niu'si'mu'yang'quan 比利牛斯牧羊犬
'bi'li'niu'si'xiang'dao'quan 比利牛斯向导犬
'bi'li'quan 比利犬
'bi'lu'yin'jia'lan'hua'quan 秘鲁印加兰花犬
'bi'xiong'quan 比熊犬
'bi'you'se'ren'quan 毕右瑟任犬
'bian'jing'mu'yang'quan 边境牧羊犬
'bian'jing'quan'geng'quan 边境犭更犬
'biao'zhun'gui'fu'quan 标准贵妇犬
'biao'zhun'mo'xi'ge'wu'mao 标准墨西哥无毛
'bing'dao'mu'yang'quan 冰岛牧羊犬
'bo'en'shan'quan'bu'li'mu'quan 伯恩山犬布里牧犬
'bo'er'ni'lao'fo'quan 伯尔尼劳佛犬
'bo'ge'ma'si'ke'quan 伯格马斯科犬
'bo'lan'di'di'mu'yang'quan 波兰低地牧羊犬
'bo'lan'lie'quan 波兰猎犬
'bo'luo'ni'ya'quan 博洛尼亚犬
'bo'mei'la'ni'ya'quan 波美拉尼亚犬
'bo'pang'nei'xiang'dao'lie'quan 波旁内向导猎犬
'bo'shi'dun'dou'niu'quan 波士顿斗牛犬
'bo'si'lai'ni'quan 波斯莱尼犬
'bo'si'ni'ya'cu'mao'quan 波斯尼亚粗毛犬
'bu'la'ge'se'rui'ke'quan 布拉格瑟瑞克犬
'bu'lao'te'lie'quan 布劳特猎犬
'bu'li'ta'ni'quan 布里塔尼犬
'bu'lie'ta'ni'ai'tui'lie'quan 布列塔尼矮腿猎犬
'bu'lie'ta'ni'chang'juan'mao 布列塔尼长卷毛
'bu'lu'sai'er'juan'mao'quan 布鲁塞尔卷毛犬
'bu'lu'tai'ke'huan'xiong'quan 布鲁泰克浣熊犬
'bu'shu'quan'geng'quan 捕鼠犭更犬
'cha'er'si'guo'wang'huang 查尔斯国王獚
'cha'te'bo'si'kai'quan 查特波斯凯犬
'chang'hu'xu'ke'li'quan 长胡须柯利犬
'chang'juan'mao'lie'quan 长卷毛猎犬
'chang'mao'chui'er'xi'ban'ya'quan 长毛垂耳西班牙犬
'chuan'si'wei'ni'ya'lie'quan 川斯威尼亚猎犬
'cu'mao'ke'li'quan 粗毛柯利犬
'da'bai'xiong'quan 大白熊犬
'da'chang'juan'mao'ai'tui'quan 大长卷毛矮腿犬
'da'dan'quan 大丹犬
'da'jia'si'ke'ni'lan'quan 大加斯科尼蓝犬
'da'ke'si'bu'ruo'ka'quan 达克斯布若卡犬
'da'ming'si'te'lan'de'quan 大明斯特兰德犬
'da'ni'ke'quan 达尼克犬
'da'xing'rui'shi'shan'quan 大型瑞士山犬
'da'xing'wang'dai'juan'mao'quan 大型旺代卷毛犬
'da'xing'yin'jia'wu'mao'quan 大型印加无毛犬
'da'ying'fa'hei'bai'se'quan 大英法黑白色犬
'da'ying'fa'san'se'quan 大英法三色犬
'dan'di'er'ding'man'quan'geng 丹迪尔丁曼犭更
'dan'mai'rui'dian'nong'chang'quan 丹麦瑞典农场犬
'de'guo'huang 德国獚
'de'guo'mu'yang'quan 德国牧羊犬
'de'guo'ping'si'che'quan 德国平斯澈犬
'de'guo'rong'mao'lang'quan 德国绒毛狼犬
'de'guo'shou'lie'quan'geng'quan 德国狩猎犭更犬
'de'guo'wei'ma'quan 德国魏玛犬
'de'guo'xiang'dao'lie'quan 德国向导猎犬
'deng'xin'rong'gui'fu'quan 灯芯绒贵妇犬
'dong'xi'bo'li'ya'lai'ka 东西伯利亚莱卡
'dou'niu'quan 斗牛犬
'dou'niu'quan'geng'quan 斗牛犭更犬
'dou'niu'quan'shi'quan 斗牛拳师犬
'du'bin'quan 度宾犬
'duan'tui'lie'quan 短腿猎犬
'e'luo'si'hei'quan'geng'quan 俄罗斯黑犭更犬
'e'luo'si'lang'quan 俄罗斯狼犬
'e'luo'si'mu'yang'quan 俄罗斯牧羊犬
'e'luo'si'ou'zhou'lai'ka 俄罗斯欧洲莱卡
'fa'guo'dou'niu'quan 法国斗牛犬
'fa'guo'hei'bai'se'quan 法国黑白色犬
'fa'guo'huang 法国獚
'fa'guo'san'se'quan 法国三色犬
'fa'lao'wang'lie'quan 法老王猎犬
'fei'li'quan 菲利犬
'fen'lan'la'pu'he'de'quan 芬兰拉普赫德犬
'fen'lan'lie'quan 芬兰猎犬
'fen'lan'rong'mao'quan 芬兰绒毛犬
'fo'lan'de'mu'yang'quan 佛兰德牧羊犬
'gao'di'bai'quan'geng'quan 高地白犭更犬
'gao'jia'suo'mu'yang'quan 高加索牧羊犬
'ge'deng'chang'mao'lie'quan 戈登长毛猎犬
