'an'niu'mian'ban 按钮面板
'an'quan'qu 安全区
'ban'qing'jia'kuai 半轻甲块
'ban'xie'dao'qing'jia 半斜倒轻甲
'ban'xie'dao'zhong'jia 半斜倒重甲
'ban'xie'jiao'dao'qing'jia 半斜角倒轻甲
'ban'xie'jiao'dao'zhong'jia 半斜角倒重甲
'ban'xie'jiao'qing'jia 半斜角轻甲
'ban'xie'jiao'zhong'jia 半斜角重甲
'ban'xie'qing'jia'kuai 半斜轻甲块
'ban'xie'zhong'jia'kuai 半斜重甲块
'ban'yan'ti'qiang 半掩体墙
'ban'zhong'jia'kuai 半重甲块
'bao'zha 爆炸
'bao'zha'wu 爆炸物
'bi'sai 比赛
'bo'jin'ding 铂金锭
'bo'jin'kuang 铂金矿
'chan'neng'mo'kuai 产能模块
'chao'dao'ti 超导体
'che'lun'xuan'jia 车轮悬架
'cheng'ke'zuo'yi 乘客座椅
'cheng'ke'zuo'yi'pian'yi 乘客座椅偏移
'chong'bo'gong'ju 重播工具
'chuan'song 传送
'chuang'hu 窗户
'chui'zhi'chuang'kou 垂直窗口
'ci'qu 磁驱
'ci'xing'ban 磁性板
'da'xing'fan'ying'dui 大型反应堆
'da'xing'gang'guan 大型钢管
'da'xing'gui'dao'pao'chuan'jia'dan 大型轨道炮穿甲弹
'da'xing'huo'wu'chu'cun'xiang 大型货物储存箱
'da'xing'kong'qi'dong'li'tui'jin'qi 大型空气动力推进器
'da'xing'li'zi'tui'jin'qi 大型离子推进器
'da'xing'qing'dong'li'tui'jin'qi 大型氢动力推进器
'da'xing'wang'ge 大型网格
'dan'tou 弹头
'dao'dan'fa'she'qi 导弹发射器
'dao'zhi'qing'jia'fang'xing'xie'jiao'qian 倒置轻甲方形斜角前
'dao'zhi'zhong'jia'fang'xing'xie'jiao'qian 倒置重甲方形斜角前
'dian'chi 电池
'dian'hu'lu 电弧炉
'dian'li'zhuang'zhi 电力装置
'ding'bu'huo'sai'bu'jian 顶部活塞部件
'ding'dang'ke'le 叮当可乐
'ding'shi'qi'kuai 定时器块
'dong'li'dian'chi 动力电池
'er'ji'jing'tong'qie'ge'ji 二级精通切割机
'er'ji'jing'tong'shou'dian'zuan 二级精通手电钻
'er'ji'zeng'qiang'han'jie'qi 二级增强焊接器
'fan'bu 帆布
