'an'han 暗含
'an'han'jie'lun 暗含结论
'an'han'qian'ti 暗含前提
'bai'ke'xin'xi 百科信息
'bei'jing'xin'xi 背景信息
'bei'jing'zhi'shi 背景知识
'ben'ti'yin'yu 本体隐喻
'bi'yu 比喻
'bian'hua'zhi'cheng 变化指称
'bian'ma 编码
'bian'yi'xing 变异性
'biao'da'lei 表达类
'biao'da'lei'yan'yu'xing'wei 表达类言语行为
'biao'ji'li'lun 标记理论
'biao'ji'xing 标记性
'biao'qing'lei'yi'yan'xing'shi 表情类以言行事
'biao'shu'ju 表述句
'biao'shu'lei'yi'yan'xing'shi 表述类以言行事
'biao'shu'xing'yan'yu'xing'wei 表述性言语行为
'biao'tai'lei'yi'yan'xing'shi 表态类以言行事
'biao'zheng 表征
'bu'ding'zhi'cheng 不定指称
'bu'ke'fen'li'xing 不可分离性
'bu'ke'qu'xiao'xing 不可取消性
'bu'que'ding'xing 不确定性
'cai'jue'lei'yi'yan'xing'shi 裁决类以言行事
'ce'lue'neng'li 策略能力
'chan'fa'xing'biao'ji'yu 阐发性标记语
'chan'shu'lei'yi'yan'xing'shi 阐述类以言行事
'chang'gui'han'yi 常规含意
'cheng'hu'yu 称呼语
'cheng'nuo'lei 承诺类
'cheng'nuo'lei'yan'yu'xing'wei 承诺类言语行为
'cheng'nuo'lei'yi'yan'xing'shi 承诺类以言行事
'cheng'nuo'xing'de 承诺性的
'cheng'shi'xing'wei 成事行为
'cheng'shi'xing'yan'yu'xing'wei 成事性言语行为
'chou'xiang'yi'yi 抽象意义
'chou'xiang'zhi'cheng 抽象指称
'chu'shi'yu'jing 初始语境
'ci'ji'yi'yi 次级意义
'ci'yao'de'yi'yan'xing'shi'xing'wei 次要的以言行事行为
'ci'yu'xin'xi 词语信息
'ci'zhui'fou'ding 词缀否定
'cong'shuo'hua'ren'li'chang'chu'fa 从说话人立场出发
'cong'zhu'yu'li'chang'chu'fa 从主语立场出发
'da'pei 搭配
'da'pei'yi'yi 搭配意义
'dai'ma'jiao'ji'mo'shi 代码交际模式
'dai'ma'mo'shi 代码模式
'de'ti'zhun'ze 得体准则
'deng'ji'han'yi 等级含意
'deng'xiao 等效
'deng'zhi'xiao'guo 等值效果
'di'dian'zhi'shi 地点指示
'ding'wei'yin'yu 定位隐喻
'dong'ci'jia 动词价
'dong'tai'yu'yong'xue 动态语用学
'duan'yan'lei 断言类
'duan'yan'lei'yan'yu'xing'wei 断言类言语行为
'duan'yan'lei'yi'yan'xing'shi 断言类以言行事
'dui'bi'xing'biao'ji'yu 对比性标记语
'dui'bi'yu'yong'xue 对比语用学
'dui'bi'yu'yong'yan'jiu 对比语用研究
'dui'chen'guan'xi 对称关系
'dui'fang'xiu'zheng 对方修正
'er'yuan'guan'xi 二元关系
'er'yuan'wei'yu 二元谓语
'fa'zhan'yu'yong'xue 发展语用学
'fan'feng 反讽
'fan'fu'ti 反复体
'fan'yi'ci'qun 反义词群
'fan'yi'neng'li 翻译能力
'fan'yu 反语
'fang'shi'zhun'ze 方式准则
'fang'wei'zhi'shi'yu 方位指示语
'fei'fen'li'xing 非分离性
'fei'gui'yue'xing 非规约性
'fei'li'fa'shi'jian'dan'wei 非历法时间单位
'fei'shi'zheng'xing'tui'li 非实证性推理
'fei'shun'jian'wan'cheng'xing'dong'ci 非瞬间完成性动词
'fei'yan'yu'jiao'ji 非言语交际
'fei'yu'yan'yu'jing 非语言语境
'fei'zhi'shi'yong'fa 非指示用法
'fei'zi'ran'yi'yi 非自然意义
'feng'ci 讽刺
'fu'hao 符号
'fu'hao'guan'xi'xue 符号关系学
'fu'hao'xue 符号学
'fu'mian'li'mao 负面礼貌
'fu'mian'li'mao'ce'lue 负面礼貌策略
'fu'mian'mian'zi 负面面子
'fu'xiang'zhuan'yi 负向转移
'gai'nian'yi'yi 概念意义
'gai'nian'yin'yu 概念隐喻
'ge'lai'si 格莱斯
'gong'neng'yu'yan'xue 功能语言学
'gong'shi 共识
'gong'xiang'xin'xi 共享信息
'gong'xiang'zhi'bei'jing'zhi'shi 共享之背景知识
'gong'zhi 共知
'gou'cheng'xing'gui'ze 构成性规则
'gu'ding'zhi'cheng 固定指称
'guan'lian 关联
'guan'lian'li'lun 关联理论
'guan'lian'xing 关联性
'guan'lian'yuan'ze 关联原则
'guan'xi'zhun'ze 关系准则
'gui'ding'yu'fa 规定语法
'gui'yue'han'yi 规约含义
'gui'yue'han'yi 规约含意
'gui'yue'hua 规约化
'gui'yue'xing 规约性
'gui'ze 规则
'guo'liang'xin'xi 过量信息
'guo'sheng'xin'xi 过剩信息
'han'hun 含混
'han'xu'xing'dong'ci 含蓄性动词
'han'yi 含意
'han'yi'de'bu'ke'fen'li'xing 含意的不可分离性
'han'yi'de'bu'que'ding'xing 含意的不确定性
'han'yi'de'fei'gui'yue'xing 含意的非规约性
'han'yi'de'ke'tui'dao'xing 含意的可推导性
'he'shi'tiao'jian 合适条件
'he'zuo'yuan'ze 合作原则
'hong'guan'yu'yong'xue 宏观语用学
'hou'zhi'hua'yu'biao'ji'yu 后指话语标记语
'hou'zhi'yong'fa 后指用法
'hu'bu'xing 互补性
'hu'dong'yu'yong'xue 互动语用学
'hu'ming 互明
'hu'zhi 互指
'hu'zhi 互知
'hu'zhi'jia'she 互知假设
'hua'lun 话轮
'hua'yu 话语
'hua'yu'biao'ji'yu 话语标记语
