'an'bao'mi'zhuan'li'shen'qing'chu'li 按保密专利申请处理
'an'fen'gong'you 按份共有
'an'ji'suan'xu'lie 氨基酸序列
'an'jian'cheng'ban'ren'yuan 案件承办人员
'an'juan 案卷
'an'juan'jia 案卷夹
'an'juan'jiao'jie 案卷交接
'an'juan'xin'xi 案卷信息
'an'juan'zhuang'tai 案卷状态
'an'shi'jiao'na 按时缴纳
'an'you 案由
'an'zhao'tong'zhi'shu'de'yao'qiu 按照通知书的要求
'an'zhao'tong'zhi'shu'de'yao'qiu'jin'xing'xiu'gai 按照通知书的要求进行修改
'ba'li'gong'yue 巴黎公约
'ba'li'gong'yue'cheng'yuan'guo 巴黎公约成员国
'ba'li'gong'yue'di'yue'guo 巴黎公约缔约国
'ban'fa'zhuan'li'zheng'shu 颁发专利证书
'ban'li'deng'ji'shou'xu 办理登记手续
'ban'li'deng'ji'shou'xu'tong'zhi'shu 办理登记手续通知书
'ban'li'hui'fu'quan'li'shou'xu 办理恢复权利手续
'ban'li'hui'fu'quan'li'shou'xu'bu'zheng'tong'zhi'shu 办理恢复权利手续补正通知书
'ban'li'hui'fu'quan'li'shou'xu'tong'zhi'shu 办理恢复权利手续通知书
'ban'li'jiao'fei'shou'xu 办理缴费手续
'ban'li'jin'ru'zhong'guo'guo'jia'jie'duan'shou'xu 办理进入中国国家阶段手续
'ban'li'shou'xu'bu'zheng'tong'zhi'shu 办理手续补正通知书
'ban'li'wen'jian'fu'ben'qing'qiu 办理文件副本请求
'ban'li'wen'jian'fu'ben'qing'qiu'shu 办理文件副本请求书
'ban'quan'biao'ji 版权标记
'bao'cang 保藏
'bao'cang'bian'hao 保藏编号
'bao'cang'dan'wei 保藏单位
'bao'cang'ri'qi 保藏日期
'bao'cang'zheng'ming 保藏证明
'bao'hu'dui'xiang 保护对象
'bao'hu'fan'wei 保护范围
'bao'hu'gong'ye'chan'quan 保护工业产权
'bao'hu'gong'ye'chan'quan'ba'li'gong'yue 保护工业产权巴黎公约
'bao'hu'gong'ye'chan'quan'ba'li'gong'yue'bu'chong'tiao'yue 保护工业产权巴黎公约补充条约
'bao'hu'ke'ti 保护客体
'bao'hu'qi'xian 保护期限
'bao'hu'zhu'ti 保护主体
'bao'hu'zhuan'li'quan 保护专利权
'bao'mi'chu'li 保密处理
'bao'mi'chu'li'tong'zhi'shu 保密处理通知书
'bao'mi'jie'duan 保密阶段
'bao'mi'qi'xian 保密期限
'bao'mi'qing'qiu 保密请求
'bao'mi'shen'cha 保密审查
'bao'mi'xian'zhi 保密限制
'bao'mi'xie'yi 保密协议
'bao'mi'xin'xi 保密信息
'bao'mi'xing'zhi 保密性质
'bao'mi'yi'wu 保密义务
'bao'mi'yuan'ze 保密原则
'bao'mi'yue'ding 保密约定
'bao'mi'ze'ren 保密责任
