'cao'fang'kuai 草方块
'chong'neng'tie'gui 充能铁轨
'cun'min 村民
'di'pi 地皮
'di'yu'shi'lai'mu 地狱史莱姆
'dong'li'tie'gui 动力铁轨
'e'hun 恶魂
'fu'ben 副本
'fu'mo'shu 附魔书
'gao'lu 高炉
'gu'fen 骨粉
'hai'gui 海龟
'hai'tun 海豚
'he'cheng'tai 合成台
'he'tun 河豚
'hong'shi 红石
'hong'shi'bi'jiao'qi 红石比较器
'hong'shi'fen 红石粉
'hong'shi'huo'ba 红石火把
'hong'shi'zhong'xu'qi 红石中续器
'huan'mo'zhe 唤魔者
'huo'ba 火把
'ji'yan 基岩
'jiang'shi 僵尸
'jiang'shi'cun'min 僵尸村民
'jin'ding 金锭
'jing'yan'zhi'ping 经验之瓶
'ku'lou 骷髅
'kuang'che 矿车
'kuang'dong 矿洞
'kuang'shan 矿山
'lan'gan 栏杆
'lie'yan'ren 烈焰人
'liu'dong'shui 流动水
'liu'dong'yan'jiang 流动岩浆
'lou'dou 漏斗
'lv'bao'shi 绿宝石
'mei'tan 煤炭
'ming'ling'fang'kuai 命令方块
'ming'ling'fang'kuai'kuang'che 命令方块矿车
'mo'gu'dao 蘑菇岛
'mo'nang 墨囊
'mu'se'sen'lin 暮色森林
'nao'gui 恼鬼
'ni'shi 溺尸
'ni'tu 泥土
'nian'yu 鲶鱼
'nv'wu 女巫
'pa'xing'zhe 爬行者
'ping'zhang 屏障
'qie'shi'ji 切石机
'qing'jin'shi 青金石
're'dai'yu 热带鱼
'rong'lu 熔炉
'shan'hu 珊瑚
'shi'ke 尸壳
'shi'lai'mu 史莱姆
'shi'tou 石头
'shu'yu'bi 书与笔
'tie'ding 铁锭
'tie'gao 铁镐
'tie'gui 铁轨
'wo'de'shi'jie 我的世界
'wu'pin'zhan'shi'kuang 物品展示框
'xiang'zi 箱子
'xiao'bai 小白
'yan'jiang 岩浆
'yang'mao 羊毛
'yao'shui 药水
'yin'xing'ji'yan 隐形基岩
'ying'huo 营火
'yu'yi 羽翼
'yuan'hun 怨魂
'yuan'shi 原石
'zhi'yi'ji 织衣机
'zuan'shi 钻石
'zuan'shi'gao 钻石镐
