'bei'guan'de 悲观的
'bo'xue'de 博学的
'chen'zhuo'de 沉着的
'cong'ming'de 聪明的
'da'dan'de 大胆的
'du'li'de 独立的
'fu'you'chuang'zao'li'de 富有创造力的
'fu'ze'de 负责的
'gong'zheng'de 公正的
'hao'dou'de 好斗的
'he'ai'ke'qin'de 和蔼可亲的
'huo'po'de 活泼的
'huo'yue'de 活跃的
'jian'pu'de 俭朴的
'jian'she'xing'de 建设性的
'jin'shen'de 谨慎的
'jin'zhi'de 尽职的
'jing'li'chong'pei'de 精力充沛的
'kang'kai'de 慷慨的
'ke'guan'de 客观的
'ke'kao'de 可靠的
'kuan'hong'da'liang'de 宽宏大量的
'lao'lian'de 老练的
'le'guan'de 乐观的
'min'wu'de 敏悟的
'ming'bai'shi'li'de 明白事理的
'neng'gan'de 能干的
'neng'sheng'ren'de 能胜任的
'qian'xu'de 谦虚的
'qin'fen'de 勤奋的
'ren'zhen'de 认真的
'shan'yu'biao'da'de 善于表达的
'shan'yu'fen'xi'de 善于分析的
'shi'shi'qiu'shi'de 实事求是的
'shi'ying'xing'qiang'de 适应性强的
'shou'guo'liang'hao'jiao'yu'de 受过良好教育的
'shou'ji'lv'de 守纪律的
'shun'cong'de 顺从的
'tan'cheng'de 坦诚的
'tan'shuai'de 坦率的
'tiao'li'fen'ming'de 条理分明的
'wai'xiang'de 外向的
'wen'jian'de 稳健的
'wen'rou'de 温柔的
'xin'xiong'xia'zhai'de 心胸狭窄的
'xing'qing'wen'he'de 性情温和的
'yan'shou'shi'ke'de 严守时刻的
'yi'si'bu'gou'de 一丝不苟的
'yin'qin'de 殷勤的
'yin'yu'de 阴郁的
'you'dong'ji'de 有动机的
'you'du'chuang'xing'de 有独创性的
'you'fang'fa'de 有方法的
'you'feng'xian'jing'shen'de 有奉献精神的
'you'hao'de 友好的
'you'he'zuo'jing'shen'de 有合作精神的
'you'mo'de 幽默的
'you'mu'di'de 有目的的
'you'neng'li'de 有能力的
'you'xiao'lv'de 有效率的
'you'xiong'xin'zhuang'zhi'de 有雄心壮志的
'you'zhi'qi'de 有志气的
'zhong'cheng'de 忠诚的
'zi'zi'bu'juan'de 孜孜不倦的
