'a'ka 阿卡
'an'bao 安包
'an'dan 安弹
'an'zha'dan 安炸弹
'ao'mo 奥摩
'ba'bao'na'hui'lai 把包拿回来
'ba'lian'sha 八连杀
'bang'ding 绑定
'bao'diao'le 包掉了
'bao'gei'wo 包给我
'bao'lai'le 包来了
'bao'nao'ke 暴脑壳
'bao'po'mo'shi 爆破模式
'bao'tou 爆头
'bao'tou'lv 爆头率
'bao'wei'zhe 保卫者
'bei'bao 背暴
'bei'bao 被暴
'bei'hou'tong'wo 背后捅我
'bei'nue 被虐
'bei'tou'xi 被偷袭
'bei'yin'le 被阴了
'bian'shi 鞭尸
'bie'chong 别冲
'bie'chu'qu 别出去
'bie'da'ren'ti'yi'qi'chong 别搭人梯一起冲
'bie'dang'wo 别挡我
'bie'diu'shan'guang 别丢闪光
'bie'diu'yan'wu 别丢烟雾
'bie'jian'qiang'he'lei 别拣枪和雷
'bie'reng'lei 别扔雷
'bie'reng'shan 别扔闪
'bie'reng'yan 别扔烟
'bie'tai'kao'qian'le 别太靠前了
'bie'yong'qiang 别用枪
'bie'zou'guan'dao 别走管道
'bu'da'de'dun'yuan'dian 不打的蹲远点
'bu'hui'de'pa 不会的爬
'bu'ling 不灵
'bu'yao'ji 不要急
'bu'yao'pao 不要跑
'bu'yao'shou'lei 不要手雷
'cai'cai 菜菜
'chai'bao 拆包
'chai'bao'gong'ju 拆包工具
'chai'bao'qian 拆包钳
'chai'dan 拆弹
'chai'dan'zhuang'bei 拆弹装备
'chao'ji'tiao 超级跳
'che'hui'lai 撤回来
'chi'tian'shi'jun'tuan 炽天使军团
'chong'chu'qu 冲出去
'chong'feng 冲锋
'chong'feng'qiang 冲锋枪
'chong'ji'di 冲基地
'chong'ying 重影
'chong'zhi 充值
'chu'dao 出刀
'chu'sheng 出声
'chuan'dian 穿点
'chuan'ren 穿人
'chuan'she 穿射
'chuan'si 穿死
'chuan'yue'huo'xian 穿越火线
'da'ji'xue 打鸡血
'da'jia'yan'hu'wo 大家掩护我
'da'jia'yi'qi'chong 大家一起冲
'da'ju 大狙
'da'miao 大瞄
'da'ren'ti 搭人梯
'dai'hao 代号
'dan'da 单打
'dan'dao 单刀
'dan'dao 弹道
'dan'dian 单点
'dan'jia 弹夹
'dan'yao 弹药
'dang'dan'pai 挡弹牌
'dang'dao'pai 挡刀牌
'dang'jian'pai 挡箭牌
'dao'bao 刀暴
'dao'fa 刀法
'dao'fang 刀房
'dao'hao 盗号
'dao'sha 刀杀
'dao'zhan 刀战
'dao'zhong'jian 到中间
'di'xia'yan'jiu'suo 地下研究所
'di'xue 滴血
'dian'ka 点卡
'dian'she 点射
'dian'xin'fang 电信房
'diao'bao 掉包
'diao'qiao 吊桥
'dou'bu'yan'hu'wo 都不掩护我
'dui'chuan 对穿
'dui'ju 对狙
'dui'kan 对砍
'dun'keng 蹲坑
'dun'sha 蹲杀
'dun'xia 蹲下
'dun'zhe'bie'sha 蹲着别杀
'e'yu'men'shou'lei 饿郁闷手雷
'er'deng'bing 二等兵
'er'lian'sha 二连杀
'fa'xian'bao 发现包
'fa'xian'zha'dan 发现炸弹
'fan'guo'mi 反国密
'fang'chen'mi 防沉迷
'fang'dan 防弹
'fang'dan'yi 防弹衣
'fang'li 房里
'fang'shang 房上
'fang'shou'dian 防守点
'fei'ji'di 匪基地
'fei'jia 匪家
'fei'tu'sheng'li 匪徒胜利
'fei'xian 匪先
'feng'hao 封号
'gai'qiang 改枪
'gan'diao'ta 干掉他
'gang'zhan 港战
'gao'tiao 高跳
'gei'ba'qiang 给把枪
'gen'zhe'wo 跟着我
'gong'xian'dian 贡献点
'gong'xian'du 贡献度
'gong'xian'zhi 贡献值
'guan'dao'li 管道里
'guan'qia 关卡
'gui'tiao 鬼跳
'gui'xian 鬼先
'guo'ji'mao'mao'fang 国际猫猫房
'ha'jia'te'lin'ji'guan'qiang 哈加特林机关枪
'ha'pi 哈皮
'ha'tang'mu'xun'chong'feng'qiang 哈汤姆逊冲锋枪
'han'fei 悍匪
'hao'fang 号房
'hao'fang 浩方
'hao'ka 好卡
'hao'meng 好猛
'hu'jia 护甲
'hua'gong'chang 化工厂
'huan'dao 换刀
'huan'qiang 换枪
'huan'tu 换图
'huang'jin'bao'tou 黄金暴头
'huang'ren 晃人
'huang'zhe 晃着
'huo'li'yan'hu 火力掩护
'huo'xian 火线
'huo'yue'dian 活跃点
'huo'yue'du 活跃度
'huo'yue'zhi 活跃值
'ji'guan'qiang 机关枪
'ji'qiang 机枪
'ji'si 挤死
'ji'ti'chong 集体冲
'jia'fen 加分
'jia'su 加速
'jia'su'gua 加速挂
'jian'bao 捡包
'jian'bu'gei'xiang 捡补给箱
'jin'bao 金爆
'jin'se'bao'tou 金色爆头
'jing'ji'di 警基地
'jing'jia 警家
'jing'xian 警先
'jiu'ren'zhi 救人质
'ju'fang 狙房
'ju'ji'shou 狙击手
'ju'si 狙死
'ka'ji 卡机
'ka'si 卡死
'kan'bao 看包
'kan'ren 砍人
'kan'zhu 看住
'kan'zhu'bao 看住包
'kuai'zha'le 快炸了
'kuai'zhuan'shen 快转身
'kuang'sha 狂杀
'kui'jia 盔甲
'kun'ling 昆零
'lang'xue 狼穴
'lei'qu 雷区
'lian'ju 连狙
'lian'sha 连杀
'lian'she 连射
'lie'bing 列兵
'ling'hu'zhe 灵狐者
'liu'lian'sha 六连杀
'luan'sao 乱扫
'luan'sha 乱杀
'luo'ji 罗技
'mai'bao 埋包
'mai'lei 埋雷
'mai'qiang 买枪
'mang'ju 盲狙
'mei'tan'yao 没弹药
'mei'zi'dan 没子弹
'mi'yu 密语
'miao'sha 秒杀
'miao'tou 秒头
'mu'biao'chu'xian 目标出现
'mu'men 木门
'na'bao 拿包
'nei'ce 内测
'ni'men'yong'qiang 你们用枪
'niao'ju 鸟狙
'nue'jiang'shi 虐僵尸
'nue'ren 虐人
'nv'shen'jiang'lin 女神降临
'pen'hua 喷画
'pen'tu 喷图
'pen'zi 喷子
'peng'peng'tiao 砰砰跳
'po'qiang 破枪
'qi'lian'sha 七连杀
'qian'fu'zhe 潜伏者
'qiang'bao 枪暴
'qiang'fang 枪房
'qiang'tui 强退
'qiao'xia 桥下
'qie'dao 切刀
'qie'qiang 切枪
'qing'ji'qiang 轻机枪
'qing'qiu'zhi'yuan 请求支援
'qu'chai 去拆
'qun'dao 群刀
'qun'sha 群杀
'rao'guo'qu 绕过去
'rao'hui'lai 绕回来
'rao'zhe 绕着
'ren'min'bi'zhan'shi 人民币战士
'ren'shao 人少
'ren'ti 人梯
'reng'lei 扔雷
'reng'shan 扔闪
'reng'yan 扔烟
'rong'yu'dian 荣誉点
'ru'rou 入肉
'sai'che'zhi'cheng 赛车之城
'sai'si 赛斯
'sai'si 塞斯
'san'dan 散弹
'san'deng'bing 三等兵
'san'lian 三连
'san'lian'fa 三连发
'san'lian'sha 三连杀
'san'lian'she 三连射
'sha'gui 杀鬼
'sha'mo'hui 沙漠灰
'sha'mo'zhi'ying 沙漠之鹰
'sha'qiu 沙丘
'sha'sha'sha 杀杀杀
'sha'ying 沙鹰
'shan'guang'yan'hu 闪光掩护
'shan'ju 闪狙
'shan'lei 闪雷
'shang'deng'bing 上等兵
'shang'fang 上房
'shang'jiang 上将
'shang'jin'mo'shi 赏金模式
'shang'shi 上士
'shang'ta 上塔
'sheng'hua'you'ling 生化幽灵
'shi'luo'de'yi'ji 失落的遗迹
'shou'bao 守包
'shou'hao 守好
'shou'hu'zhe 守护者
'shou'ji'di 守基地
'shou'jia 守家
'shou'qiang'fang 手枪房
'shou'ren 收人
'shou'zhu 守住
'shou'zhu'bao 守住包
'shua'fen 刷分
'shua'lei 刷雷
'shua'lei'zhe 刷雷者
'shuang'bei'jing'yan 双倍经验
'shuang'fei'yan 双飞燕
'shuang'lian'sha 双连杀
'shui'diao'de 谁掉的
'shun'yi 瞬移
'si'lian'sha 四连杀
'si'wang'shi'zi 死亡十字
'si'wo'te 斯沃特
'su'du'chai 速度拆
'su'du'zhuang 速度装
'su'du'zhun'bei 速度准备
'su'zhi'dao 素质刀
'su'zhi'shua 素质刷
'su'zhi'yong'dao 素质用刀
'su'zhi'zhe'yong'dao 素质者用刀
'suo'lian 锁链
'ta'shang 塔上
'tai'ka 太卡
'tai'san 太散
'ti'ren 踢人
'ti'yan'fu 体验服
'tiao'ju 跳狙
'tiao'sha 跳杀
'tiao'zi'xian 条子先
'ting'hu'xi 听呼吸
'tong'wo 捅我
'tou'shi'gua 透视挂
'tuan'dui'jing'ji'mo'shi 团队竞技模式
'wai'gua'si'quan'jia 外挂死全家
'wan'bu'lai 玩不来
'wan'mei'xiao'wai 完美小歪
'wang'tong'fang 网通房
'wo'bei'mai'fu'le 我被埋伏了
'wo'dian'hou 我殿后
'wo'mai'fu'hao'le 我埋伏好了
'wu'lian'sha 五连杀
'xia'ba 下把
'xia'bao 下包
'xia'dan 下蛋
'xia'pan'gen'zhe'wo 下盘跟着我
'xia'shi 下士
'xian'dan 霰弹
'xian'feng'deng'dai 先锋等待
'xian'feng'ren'yuan'qing'deng'dai 先锋人员请等待
'xiang'hou 箱后
'xiao'ju 小狙
'xiao'miao 小瞄
'xiao'sheng 消声
'xiao'xin'hou'mian 小心后面
'xiao'xing'gong'chang 小型工厂
'xin'nian'guang'chang 新年广场
