'an'hai'jing'shi 暗海晶石
'an'shan'yan 安山岩
'bai'hua'mu 白桦木
'bai'hua'mu'ban 白桦木板
'bai'hua'yuan'mu 白桦原木
'bai'se'yang'mao 白色羊毛
'ban'xian 绊线
'ban'xian'gou 绊线钩
'bang'ding'zu'zhou 绑定诅咒
'bao'hu 保护
'bao'lie'zi'song'guo 爆裂紫颂果
'bao'zha'bao'hu 爆炸保护
'bao'zi'hua 孢子花
'bei'ji'huo'de'zhong'ji'qi 被激活的中继器
'bi'jiao'qi 比较器
'bian'jing'zhi'di 边境之地
'bian'jing'zhi'jiao 边境之角
'biao'ba 标靶
'bin'fen'geng'xin 缤纷更新
'bing'qiao'shan 冰峭山
'bing'shuang'xing'zhe 冰霜行者
'bing'xue'nv'wang 冰雪女王
'bo'li'ban 玻璃板
'bu'si'tu'teng 不死图腾
'cao'fang'kuai 草方块
'cao'jing 草径
'ce'zhong 测重
'chan'gen'ni'tu 缠根泥土
'chan'yuan'teng 缠怨藤
'chao'yong'he'xin 潮涌核心
'chao'yong'neng'liang 潮涌能量
'cheng'se'yang'mao 橙色羊毛
'chi'huan'yao'shui 迟缓药水
'chi'huan'zhi'jian 迟缓之箭
'chong'ji 冲击
'chong'neng'tie'gui 充能铁轨
'chong'sheng'mao 重生锚
'chuan'ci 穿刺
'chuan'tou 穿透
'chuang'zao'mo'shi 创造模式
'chui'di'ye 垂滴叶
'chui'gen 垂根
'cong'lin'mu 丛林木
'cong'lin'mu'ban 丛林木板
'cong'lin'shen'miao 丛林神庙
'cong'lin'yuan'mu 丛林原木
'cu'jin'kuai 粗金块
'cu'tie'kuai 粗铁块
'cu'tong'kuai 粗铜块
'dan'hui'se'yang'mao 淡灰色羊毛
'dan'lan'se'yang'mao 淡蓝色羊毛
'di'shui'shi'kuai 滴水石块
'di'shui'shi'zhui 滴水石锥
'di'yu'yan 地狱岩
'di'yu'you 地狱疣
'di'yu'zhuan'kuai 地狱砖块
'di'yu'zhuan'zha'lan 地狱砖栅栏
'diao'ling 凋灵
'diao'ling'ku'lou'tou'lu 凋灵骷髅头颅
'dong'li'kuang'che 动力矿车
'du'juan'hua'cong 杜鹃花丛
'du'juan'shu 杜鹃树
'dui'fei'tong 堆肥桶
'duo'chong'she'ji 多重射击
'duo'qi'mo'shi 夺旗模式
'e'di 恶地
'e'hun 恶魂
'e'hun'zhi'lei 恶魂之泪
'er'diao 饵钓
'fa'guang'de'hei'yao'shi 发光的黑曜石
'fa'guang'de'hong'shi'deng 发光的红石灯
'fa'guang'de'hong'shi'kuang'shi 发光的红石矿石
'fa'guang'di'yi 发光地衣
'fa'guang'jiang'guo 发光浆果
'fa'jiao'zhu'yan 发酵蛛眼
'fa'she'qi 发射器
'fan'hua'shan'di 繁花山地
'fan'mao'dong'xue 繁茂洞穴
'fan'zhuan'yang'guang'chuan'gan'qi 反转阳光传感器
'fang'jie'shi 方解石
'fei'hong'jun'bing 绯红菌柄
'fei'hong'jun'he 绯红菌核
'fei'hong'jun'yan 绯红菌岩
'fei'hong'mu'ban 绯红木板
'fen'hong'se'yang'mao 粉红色羊毛
'feng'li 锋利
'feng'mi'ping 蜂蜜瓶
'feng'shi'e'di 风蚀恶地
'fu'bing 浮冰
'fu'mo 附魔
'fu'mo'jin'ping'guo 附魔金苹果
'fu'mo'shu 附魔书
'fu'mo'tai 附魔台
'fu'mo'zhi'ping 附魔之瓶
'gan'cao'kuai 干草块
'geng'di 耕地
'gong'zuo'tai 工作台
'gu'fen 骨粉
'gu'kuai 骨块
'guai'wu'dan 怪物蛋
'guan'cha'zhe 观察者
'gui'yi'jun'bing 诡异菌柄
'gui'yi'jun'he 诡异菌核
'gui'yi'jun'suo 诡异菌索
'gui'yi'jun'yan 诡异菌岩
'gui'yi'mu'ban 诡异木板
'hai'di'yi'ji 海底遗迹
'hai'jing'deng 海晶灯
'hai'jing'sha'li 海晶砂粒
'hai'jing'shi 海晶石
'hai'jing'shi'zhuan 海晶石砖
'hai'jing'sui'pian 海晶碎片
'hai'mian 海绵
'hai'pao'cai 海泡菜
'hai'yang'zhi'xin 海洋之心
'hai'zhi'juan'gu 海之眷顾
'he'jin'huan'mu 合金欢木
'he'jin'huan'mu'ban 合金欢木板
'he'jin'huan'yuan'mu 合金欢原木
'hei'se'yang'mao 黑色羊毛
'hei'shi 黑石
'hei'yao'shi 黑曜石
'hei'yao'shi'qiang 黑曜石墙
'heng'sao'zhi'ren 横扫之刃
'hong'bao'shi'kuang'shi 红宝石矿石
'hong'se'yang'mao 红色羊毛
'hong'sha 红沙
'hong'sha'shi 红沙石
'hong'shi 红石
'hong'shi'bi'jiao'qi 红石比较器
'hong'shi'deng 红石灯
'hong'shi'geng'xin 红石更新
'hong'shi'huo'ba 红石火把
'hong'shi'kuai 红石块
'hong'shi'kuang'shi 红石矿石
'hong'shi'zhong'ji'qi 红石中继器
'hua'gang'yan 花岗岩
'huan'yi 幻翼
'huan'yi'mo 幻翼膜
'huang'lv'se'yang'mao 黄绿色羊毛
'huang'se'yang'mao 黄色羊毛
'hui'hua'tu 灰化土
'hui'se'yang'mao 灰色羊毛
'hun'ning'tu 混凝土
'hun'ning'tu'fen'mo 混凝土粉末
'huo'ban'men 活板门
'huo'sai'bi 活塞臂
'huo'shi 火矢
'huo'yan'bao'hu 火焰保护
'huo'yan'dan 火焰弹
'huo'yan'fu'jia 火焰附加
'ji'huo'tie'gui 激活铁轨
'ji'liu 激流
'ji'tui 击退
'ji'xie'zhuang'zhi 机械装置
'jian'ci'fang'kuai 尖刺方块
'jiang'shi'de'tou 僵尸的头
'jiang'shi'you'zhu'shou 僵尸疣猪兽
'jiang'shi'zhu'ling 僵尸猪灵
'jie'zhi'sha'shou 节肢杀手
'jin'hu'luo'bo 金胡萝卜
'jin'kuai 金块
'jin'kuang'shi 金矿石
'jin'li 金粒
'jing'ji 荆棘
'jing'yan'xiu'bu 经验修补
'jing'zhun'cai'ji 精准采集
'jiu'tou'she 九头蛇
'ju'xing'mo'gu 巨型蘑菇
'jun'si 菌丝
'kang'huo'yao'shui 抗火药水
'ku'lou'tou'lu 骷髅头颅
'ku'qi'de'hei'yao'shi 哭泣的黑曜石
'ku'si'de'guan'mu 枯死的灌木
'kuai'su'zhuang'tian 快速装填
'kuang'shi'kuai 矿石块
'lan'bing 蓝冰
'lan'se'yang'mao 蓝色羊毛
'li'liang 力量
'li'liang'yao'shui 力量药水
'lie'shi'zhuan 裂石砖
'lie'yan'bang 烈焰棒
'lie'yan'fen 烈焰粉
'lie'yan'ren 烈焰人
'lin'di'fu'di 林地府邸
'ling'hun'huo'ba 灵魂火把
'ling'hun'ji'xing 灵魂疾行
'ling'hun'sha 灵魂沙
'ling'hun'tu 灵魂土
'ling'hun'ying'huo 灵魂营火
'liu'dong'de'shui 流动的水
'liu'dong'de'yan'jiang 流动的岩浆
'long'dan 龙蛋
'lou'dou'kuang'che 漏斗矿车
'lue'duo'zhe'qian'shao'zhan 掠夺者前哨站
'lv'bao'shi 绿宝石
'lv'bao'shi'kuai 绿宝石块
'lv'bao'shi'kuang'shi 绿宝石矿石
'lv'se'yang'mao 绿色羊毛
'ma'pi'geng'xin 马匹更新
'mao'xian'mo'shi 冒险模式
'mao'xian'yuan'su'geng'xin 冒险元素更新
'mei'kuang'shi 煤矿石
'mei'tan'kuai 煤炭块
'mei'xi'yuan 美西螈
'mi'mi'geng'xin 秘密更新
'mi'mi'zhou'liu'geng'xin 秘密周六更新
'mi'mi'zhou'wu'geng'xin 秘密周五更新
'mi'pi 蜜脾
'mi'pi'kuai 蜜脾块
'ming'ling'fang'kuai 命令方块
'mo'di'cheng 末地城
'mo'di'chuan'song'men'fang'kuai 末地传送门方块
