'an'qi 氨气
'an'quan'fa 安全阀
'an'yan'jie'jing 铵盐结晶
'ban'feng'bi'shi 半封闭式
'ban'kuang 板框
'ban'shi 板式
'ban'shi'huan're'qi 板式换热器
'ban'you'hei'liu'huang'chu'xian 伴有黑硫磺出现
'bao'hu'kai'guan 保护开关
'bao'zha'shang'xian'yue'gao 爆炸上限越高
'bao'zha'xia'xian'yue'di 爆炸下限越低
'bi'biao'mian 比表面
'bi'li'tiao'jie 比例调节
'bu'bian 不变
'bu'chong'shui'shui'yuan'bu'chong'shui 补充水水源补充水
'bu'ran 不燃
'cao'zuo'gui'cheng 操作规程
'chai'you 柴油
'chan'sheng'jing'dian 产生静电
'chan'sheng'qi'shi 产生汽蚀
'chang'kai'shi 常开式
'chao'fu'he 超负荷
'chao'su 超速
'chao'wen 超温
'chao'ya 超压
'chen'dian'mo'xing 沉淀膜型
'chong'xi 冲洗
'chou'ji'dan 臭鸡蛋
'chou'ji'dan'qi'wei 臭鸡蛋气味
'chou'wei 臭味
'chu'chen'jing'hua 除尘净化
'chu'dian 触电
'chu'kou 出口
'chuan'zhi'chuan're 传质传热
'chuang'ceng'wen'sheng'ming'xian'jiang'di 床层温升明显降低
'chuang'ceng'ya'li'jiang'zeng'da 床层压力降增大
'chui'sao 吹扫
'chui'sao'dian'huo'kai'wa'si 吹扫点火开瓦斯
'chui'zhi 垂直
'cui'hua'ji 催化剂
'cui'hua'ji'cang'liang 催化剂藏量
'cui'hua'ji'mi'du 催化剂密度
'da'dao'zhao'huo'dian 达到着火点
'da'yu 大于
'dan'wei'ti'ji 单位体积
'dan'xi'beng 单吸泵
'dan'xi'shi 单吸式
'dan'zhi'liu 单质硫
'deng'yu 等于
'di'ya'dan'xiang 低压单相
'di'ya'dan'xiang'chu'dian 低压单相触电
'di'ya'liang'xiang'chu'dian 低压两相触电
'di'ya'wa'si'xian 低压瓦斯线
'di'ya'zheng'qi 低压蒸汽
'di'yu 低于
'di'zhuang'zhi 地装置
'dian'dao'lv 电导率
'dian'huo 点火
'die'fa 蝶阀
'ding'lu'xian 定路线
'ding'wen'ding'ya'sheng'gao 顶温顶压升高
'ding'xian'lu 定线路
'ding'zi'xie 钉子鞋
'dong'mi'feng 动密封
'du'se 堵塞
'dui'liu 对流
'dui'liu'kuo'san 对流扩散
'er'yang'hua'liu 二氧化硫
'fa'gan 阀杆
'fan'ying 反应
'fang'bao'men 防爆门
'fang'hu'yong'ju 防护用具
'fang'hu'yong'pin 防护用品
'fang'huan'yu'wei'ran 防患于未然
'fang'jing 放净
'fang'zhi'pian'shi 防止偏蚀
'fang'zhi'xiu'zhu 防止锈住
'fang'zhi'zhou'wan'qu 防止轴弯曲
'fei'teng 沸腾
'fen'hua 粉化
'fen'san'xing 分散性
'fen'zi 分子
'fen'zi'kuo'san 分子扩散
'feng'bi'shi 封闭式
'feng'chui'sun'shi 风吹损失
'feng'xian'fen'ji'guan'kong 风险分级管控
'feng'ya 封压
'fu'chan'pin'liu'suan 副产品硫酸
'fu'fa 浮阀
'fu'fa'ta'pan 浮阀塔盘
'fu'sheng'liu'suan 附生硫酸
'fu'shi'chan'wu 腐蚀产物
'fu'shi'zhong'fei'qi 釜式重沸器
'fu'zhu'huo'zui 辅助火嘴
'gao'du 高度
'gao'wen'chan'he'fa 高温掺合阀
'gao'wen'liu 高温硫
'gao'wen'liu'fu'shi 高温硫腐蚀
'gao'wen're'qi'liu 高温热气流
'gao'wen're'qi'liu 高温热气硫
