'a'er'fa'shu'guang 阿尔法曙光
'a'te'la'si'gong'cheng'ji'jia 阿特拉斯攻城机甲
'ai'guo'zhe'ci'bao'dao'dan 爱国者磁暴导弹
'ai'guo'zhe'dao'dan'fa'she'jia 爱国者导弹发射架
'ai'si'lei'chan 爱死雷禅
'ai'wa'zhong'wei 爱娃中尉
'ao'xiang'de'huo'xing'ren 翱翔的火星人
'ba'wai'jiao'guan 吧外交官
'bai'gong'qian'de'fa'xi 白宫前的法希
'bai'gong'qian'de'fa'yin 白宫前的法音
'bai'gong'qian'de'guang'leng 白宫前的光棱
'bai'gong'qian'de'sha 白宫前的傻
'bai'gong'qian'de'wu'wei 白宫前的无畏
'bai'gong'qian'di'guang'leng 白宫前地光棱
'bao'li'si 鲍里斯
'bao'li'si'gai'te 鲍里斯盖特
'bei'kao'bei 背靠背
'bing'du'ju'ji'bing 病毒狙击兵
'bing'du'ju'ji'shou 病毒狙击手
'bing'jie'jie'zhi'long 冰结界之龙
'bing'qi 冰琪
'bing'qi'gong'zhu 冰琪公主
'bing'shuang'xiao'long 冰霜小龙
'bing'tian'xue'di 冰天雪地
'bo'rui'si 伯瑞斯
'bu'bing'diao'bao 步兵碉堡
'bu'dui'hui'shou'gong'chang 部队回收工厂
'bu'shi'da'jia 不是大家
'cao'mo'miao 草摩苗
'chang'zhang 厂长
'chao'ji'dian'liang'dan'wei 超级电量单位
'chao'ji'ying'xiong'dan'wei 超级英雄单位
'chao'kong'jian'cai'kuang'che 超空间采矿车
'chao'kong'jian'chuan'song'yi 超空间传送仪
'chao'kong'jian'fang'yu'ta 超空间防御塔
'chao'kong'jian'jun'tuan'bing 超空间军团兵
'chao'kong'jian'zhuan'yi 超空间转移
'chao'shi'kong'chuan'song 超时空传送
'chao'shi'kong'chuan'song'bing 超时空传送兵
'chao'shi'kong'chuan'song'yi 超时空传送仪
'chao'shi'kong'feng'bao 超时空风暴
'chao'shi'kong'hei'ying'zhan'ji 超时空黑鹰战机
'chao'shi'kong'jun'tuan'bing 超时空军团兵
'chao'shi'kong'tie'mu 超时空铁幕
'chao'shi'kong'zhuan'huan 超时空转换
'chao'wu 超武
'che'jing 撤精
'chong'feng'mo'tuo'che 冲锋摩托车
'chong'zhuang'ci'bao'bing 重装磁暴兵
'chong'zhuang'da'bing 重装大兵
'chong'zhuang'xiao'bing 重装小兵
'ci'bao'bu'bing 磁暴步兵
'ci'bao'bu'bing 磁爆步兵
'ci'bao'quan'xian 磁暴圈线
'ci'bao'ta 磁暴塔
'ci'bao'xian'quan 磁暴线圈
'ci'bao'xian'quan 磁爆线圈
'ci'dian'ta 磁电塔
'ci'dian'tan'ke 磁电坦克
'ci'neng'tan'ke 磁能坦克
'ci'xuan'fu'cai'kuang'che 磁悬浮采矿车
'da'hai'gui 大海龟
'da'wei'ke'tuo 大维克托
'dan'dan 蛋蛋
'dao'ban'zhuan'tou 盗版砖头
'dao'dan'fang'yu'bing 导弹防御兵
'de'yi'zhi'di'san'di'guo'wan'sui 德意志第三帝国万岁
'deng'yao 等腰
'deng'yao'zheng'fang'xing 等腰正方形
'deng'yue'huo'jian'yuan 登月火箭员
'di'dao'wang'luo'xi'tong 地道网络系统
'di'dong'chan'sheng'qi 地动产生器
'di'wai 地歪
'dian'chi'zhuan'jia 电池专家
'dian'zi'gan'rao'qi 电子干扰器
'dian'zi'gan'rao'ta 电子干扰塔
'dong'yuan'bing 动员兵
'du'gan'zong'tong 杜甘总统
'du'gen 杜根
'du'gen 毒根
'du'gu'mu'ren 独孤木人
'duo'gong'neng'bu'bing'che 多功能步兵车
'duo'guan'huo'jian'ta 多管火箭塔
'fa'xi'si'wan'sui 法西斯万岁
'fa'yin'kong'jiang'bing 法音空降兵
'fan'kong'lian'meng 反恐联盟
'fan'xuan'lian'meng 反玄联盟
'fang'kong'bu'bing 防空步兵
'fang'kong'lv'dai'che 防空履带车
'fei'ying'zhan'kuang 飞鹰战狂
'fei'zhou'xiao'bai'lian 非洲小白脸
'feng'bao'xun'yang'jian 风暴巡洋舰
'feng'kuang'yi'wan 疯狂伊万
'feng'kuang'yi'wen 疯狂伊文
'fu'chou'zhe'tan'ke 复仇者坦克
'fu'she 辐射
'fu'she'gong'bing 辐射工兵
'gai'te'ji'pao 盖特机炮
'gai'te'tan'ke 盖特坦克
'gan'rao'cao'zong 干扰操纵
'gao'she'pao'da'ma'yi 高射炮打蚂蚁
'gao'shi'fan 高诗帆
'gao'shou 高手
'ge'qian'zai'qiu'ming 搁浅在秋名
'gong'cheng'shi 工程师
'gong'cheng'zhi'sheng'ji 攻城直升机
'gong'he'guo'zhi'hui 共和国之辉
'gong'hui 共灰
'gong'zhen'ta 共振塔
'gong'zhu'tuan'zhan'shi 公主团战士
'gu'ding'gang'shao 固定岗哨
'guang'he'an'de'xi'li 光和暗的洗礼
'guang'leng'bu'shi'nao'zhong 光棱不是孬种
'guang'leng'ji'guang'tan 光棱激光弹
'guang'leng'shi'dai 光棱时代
'guang'leng'ta 光棱塔
'guang'leng'tan'ke 光棱坦克
'guang'leng'zhi'jian 光棱之剑
'guang'ling'hong'zha'ji 光陵轰炸机
'guang'ling'ta 光凌塔
'guang'ling'tan'ke 光凌坦克
'guang'ling'zhu 光凌柱
'guang'xue'zu'duan 光学阻断
'gui'mei'fei'xing'bing 鬼魅飞行兵
'hai'bao'bu'dui 海豹部队
'hai'bo'long'hong'zha'ji 亥伯龙轰炸机
'hai'jun'chuan'wu 海军船坞
'hai'long'gong'ji'qian'ting 海龙攻击潜艇
'hai'tun'de'xun'lian'chang 海豚的训练场
'hai'tun'zhi'zao 海豚制造
'hai'xiao'gong'ji'qian'ting 海啸攻击潜艇
'han'ma'ji'pu'che 悍马吉普车
'he'dan'fa'she'jing 核弹发射井
'he'dan'hong'zha'he'dian'zhan 核弹轰炸核电站
'he'xie 和谐
'he'xie 河蟹
'hei'jing'ta 黑晶塔
'hei'jing'tou'she'ti'tan'ke 黑晶投射体坦克
'hei'xin'di'guo 黑心帝国
'hei'ying'zhan'ji 黑鹰战机
'hei'ying'zhan'shen 黑鹰战神
'hong'ji'ju'pao 轰击巨炮
'hong'jing'zhan'dui 红警战队
'hong'jing'zhan'shi 红警战士
'hong'se'jing'jie 红色警戒
'hong'se'sai'ning 红色赛宁
'hong'zha'ji'yuan'de'tai'jian 轰炸妓院的太监
'hu'cheng'qiang 护城墙
'hu'shi'zhi'sheng'ji 虎式直升机
'hu'wang'tan'ke 虎王坦克
'hua'dong'lie'fu'si'ji 华东列夫斯基
'huan'ying 幻影
'huan'ying'sa'dan 幻影撒旦
'huan'ying'tan'ke 幻影坦克
'hui'xiong'tan'ke 灰熊坦克
'huo'jian'bu'bing 火箭步兵
'huo'jian'fei'xing'bing 火箭飞行兵
'huo'jian'ji'pu'che 火箭吉普车
'huo'qiang 火枪
'huo'sa'tan'ke 霍挲坦克
'huo'yan'zhan'dou'jian 火焰战斗舰
'ji'di'che 基地车
'ji'dong'dian'ci'mai'chong'zhuang'zhi 机动电磁脉冲装置
'ji'dong'ji'di'che 机动基地车
'ji'guang'hong'zha'ji 极光轰炸机
'ji'luo'fu'fei'ting 基洛夫飞艇
'ji'luo'fu'kong'ting 基洛夫空艇
'ji'qi'ren'tan'ke 机器人坦克
'ji'qiang'diao'bao 机枪碉堡
'ji'yin'tu'bian 基因突变
'ji'yin'tu'bian'qi 基因突变器
'jian'die'wei'xing'xi'tong 间谍卫星系统
'jian'kong'gong'ji'qian'ting 戬空攻击潜艇
'jiang'gun'zhan'lie'jian 洚鲧战列舰
'jiang'li'zhi'sheng'ji 绛离直升机
'jiao'mie'zhan'huo'zong'si'ling 剿灭战火总司令
'jin'diao'hong'zha'ji 金雕轰炸机
'jin'ji'wei'xiu 紧急维修
'jing'ba 警吧
'jing'shen'chuan'gan'qi 精神传感器
'jing'shen'kong'zhi'tan'ke 精神控制坦克
'jing'ying'zhan'dou'bing 菁英战斗兵
'jiu'yuan'zhi'yi 救援之翼
'ju'ji'bing 狙击兵
'ju'ji'shou 狙击手
'ju'pao'zhi'wang 巨炮之王
'ju'xing'wu'zei 巨型乌贼
'jue'di'fan'ji 绝地反击
'jue'di'fan'ji'zhi'dong'fang'zhan'xian 绝地反击之东方战线
'ka'qiu'sha'huo'jian'xi'tong 喀秋莎火箭系统
'ka'wei'li'jiang'jun 卡维利将军
'ka'wei'li'shang'jiang 卡维利上将
'kai'wu'zhi'de'li'ang 开武直的利昂
'ke'ji'ji'chang 科技机场
'ke'ji'zuan'you'jing 科技钻油井
'ke'le'bo 克勒博
'ke'long'zhong'xin 克隆中心
'ke'man'qi'wu'zhuang'zhi'sheng'ji 科曼奇武装直升机
'ke'yan'zhong'xin 科研中心
'kong'bu'fen'zi 恐怖分子
'kong'bu'ji'qi'ren 恐怖机器人
