'a'bu'ha 阿布哈
'a'da'hu'mu 阿达胡姆
'a'er'di'ni 阿尔蒂尼
'a'er'ku'ci 阿尔库茨
'a'er'ma'zhi 阿尔玛至
'a'ge'er 阿戈尔
'a'gen'ta 阿根塔
'a'gua'la'rui'er 阿瓜拉瑞尔
'a'ji'ma'mu'er 阿吉玛穆尔
'a'ji'ya 阿吉亚
'a'ke'lan 阿克兰
'a'ke'wa 阿克瓦
'a'ke'zi 阿克兹
'a'la'ke'er 阿拉克尔
'a'la'ni'er 阿拉尼尔
'a'li'ka'la 阿里卡拉
'a'lie'si 阿列斯
'a'luo'se'ya'si 阿罗瑟亚斯
'a'man'fa'er 阿曼法尔
'a'ni'da'zha 阿妮达扎
'a'se'zha'yi 阿瑟扎伊
'a'sha'luo'la 阿沙罗拉
'a'tu'lai'ma 阿图莱玛
'a'wa'cha 阿瓦碴
'a'xi'na'da 阿西纳达
'a'zi'jia'bi 阿兹贾比
'ai'ba'jia'wa 埃巴加瓦
'ai'bai 艾拜
'ai'bi'di 爱毕迪
'ai'da'er 埃达尔
'ai'da'la'bai'er 挨达拉拜尔
'ai'er'la 埃尔拉
'ai'er'mi'ya 艾尔米亚
'ai'er'mo'la 艾尔莫拉
'ai'ge'ha 艾格哈
'ai'ji'lun 埃吉伦
'ai'jia'ao 埃加奥
'ai'jiao'ji'ji 矮脚鸡级
'ai'jie'sen 埃杰森
'ai'ke'la 爱科拉
'ai'ke'la'de 埃克拉德
'ai'ke'luo 埃柯罗
'ai'ke'nuo'chu'li'ji'shu 艾克诺处理技术
'ai'ke'nuo'yan 艾克诺岩
'ai'ke'nuo'yi'le 埃克诺伊勒
'ai'ke'pu'wen'mu 埃克葡温姆
'ai'ku'la 埃库拉
'ai'la 埃拉
'ai'la'ken 艾拉肯
'ai'le'jin 埃勒金
'ai'ma 艾玛
'ai'ma'da'ling'shi'guan 艾玛达领事馆
'ai'ma'gong'ye'jian'cao'zuo'li'lun 艾玛工业舰操作理论
'ai'ma'hai'jun'tiao'li 艾玛海军条例
'ai'ma'hang'kong'mu'jian'cao'zuo'li'lun 艾玛航空母舰操作理论
'ai'ma'hu'wei'jian'cao'zuo'li'lun 艾玛护卫舰操作理论
'ai'ma'huo'jian'cao'kong'li'lun 艾玛货舰操控理论
'ai'ma'ke'ji 艾玛科技
'ai'ma'sai'ke 埃马赛克
'ai'ma'tai'tan'yan'jiu 艾玛泰坦研究
'ai'ma'wu'ren'ji'zhuan'ye'li'lun 艾玛无人机专业理论
'ai'ma'wu'wei'ji'zhan'jian'cao'zuo'li'lun 艾玛无畏级战舰操作理论
'ai'ma'xing'jian'gong'cheng'xue 艾玛星舰工程学
'ai'ma'xun'yang'jian'cao'zuo'li'lun 艾玛巡洋舰操作理论
'ai'ma'zhan'lie'jian'cao'zuo'li'lun 艾玛战列舰操作理论
'ai'mi 艾米
'ai'pu'tei'te 爱普忒特
'ai'rui'na 艾瑞纳
'ai'sa'bo'na 埃萨伯纳
'ai'sai'ya'de 艾赛亚德
'ai'se'sa'mei 艾瑟萨美
'ai'sha'ha 艾沙哈
'ai'si'ge'ha'ti'er 埃斯格哈提尔
'ai'si'le'mu 埃斯勒姆
'ai'si'ta'bi'he 埃斯塔比赫
'ai'te'yi'er 埃特依尔
'ai'wa'sa'la'si 埃瓦萨拉斯
'ai'wei'bu 埃维布
'ai'wei'xi'er 埃维希尔
'ai'xin 艾欣
'ai'ze'la'ke'shen 埃泽拉克什
'ai'zhuo'lan'de 埃卓蓝德
'an'bei'ke 安贝克
'an'bu'lie 安布列
'an'ji'na'er'te 安吉纳尔特
'an'jie'ding 安杰丁
'an'jie'er'si 安杰尔斯
'an'ka'de 按卡德
'an'kao'er 安考尔
'an'na'le'si 安纳勒斯
'an'na'luo 安那罗
'an'na'na 安纳娜
'an'ni 安妮
'an'quan'huo'gui 安全货柜
'an'si'la 安斯拉
'an'ta'le'en 安塔勒恩
'an'ti'ya'le'en 安提雅勒恩
'ang'su 昂苏
'ao'ban'lun 奥班伦
'ao'bei'er'shi 奥贝尔石
'ao'bei'er'shi'chu'li'ji'shu 奥贝尔石处理技术
'ao'duo'dan 奥铎丹
'ao'er'shen'de 奥尔什德
'ao'fa'rui 奥法瑞
'ao'gui 奥贵
'ao'kun'da 奥昆达
'ao'la'long 奥拉隆
'ao'la'ri 奥拉日
'ao'luo'hu'en 奥罗胡恩
'ao'ma'hai'lun 奥马海仑
'ao'miu'er 奥缪尔
'ao'ni'er'wa'na 奥尼尔瓦纳
'ao'ni'ya 奥尼亚
'ao'sa 奥萨
'ao'si'ta 奥斯塔
'ao'ta'fa 奥塔法
'ao'ta'li'si 奥塔里斯
'ao'ta'wa'sa 奥塔瓦萨
'ao'ta'xi'la 奥塔希拉
'ao'tu'xi 奥图西
'ao'wei'er'jin 奥威尔金
'ba'er 巴尔
'ba'er'shi'er 巴尔士尔
'ba'jin'ge'te 巴津格特
'ba'le 巴勒
'ba'si'ji'lin 巴斯基林
'ba'wei'ge'la'de 巴维格拉德
'ba'wei'ya'xi 巴维亚希
'ba'yu'ka 巴宇卡
'bai'ban'dang 白板党
'bai'meng'ni'er 拜盟尼尔
'bai'zao'fa'sheng'qi 白噪发生器
'bao'jin'wu'he'jin 包金钨合金
'bao'lei'ji 堡垒级
'bao'lei'ji'yu'lei'gai'lun 堡垒级鱼雷概论
'bao'po'hu'dun'bu'chang'yan'jiu 爆破护盾补偿研究
'bao'zha'zhuang'jia'bu'chang'li'lun 爆炸装甲补偿理论
'bei'da'lie'ya 贝达列亚
'bei'er'ta 贝尔塔
'bei'ji'er'duo'de 被吉尔多德
'bei'ji'xing'gai'lun 北极星概论
'bei'sa'te'liu'deng 贝萨特琉登
'ben'nu'la'de 本努拉德
'bian'dui'guan'li'xue 编队管理学
'bian'pin'cai'kuang'lei'she 变频采矿镭射
'biao'ti'dang 标题党
'biao'zhun'dao'dan'gai'lun 标准导弹概论
'biao'zhun'dao'dan'zhuan'ye'yan'jiu 标准导弹专业研究
'biao'zhun'huo'gui 标准货柜
'biao'zhun'jing'ti 标准晶体
'bing'kuang'cai'ji'li'lun 冰矿采集理论
'bing'kuang'chu'li'ji'shu 冰矿处理技术
'bo'di'en 波迪恩
'bo'di'xie 波迪谢
'bo'jin'ji'hua 铂金技化
'bo'ta'ni 波塔尼
'bo'ye'lun 波耶伦
'bo'yi'lai'er 波伊莱尔
'bu'fu'ti'ya 布夫提亚
'bu'la'mei'si'dun 布拉梅斯顿
'bu'zhi 钚质
'cai'jue'zhe'ji'shu 采掘者技术
'cai'kuang'bo'chuan'cao'zuo'li'lun 采矿驳船操作理论
'cai'kuang'guan'li'ji'shu 采矿管理技术
'cai'kuang'ji'shu 采矿技术
'cai'kuang'qi 采矿器
'cai'kuang'wu'ren'ji'cao'kong'li'lun 采矿无人机操控理论
'cai'kuang'wu'ren'ji'zhuan'ye'yan'jiu 采矿无人机专业研究
'cang'lu'ji 苍鹭级
'ce'liang'xue 测量学
'ce'shi 测试
'ce'shi'mao'yi'ji'qiao 测试贸易技巧
'ce'shi'wu'ren'ji'ji'neng 测试无人机技能
'cha'jian 插件
'cha'mu'mei 查姆梅
'cha'sun'ji 茶隼级
'cha'tou 插头
'chang'gui'huo'pao 常规火炮
'chang'zheng'xing'yu 长征星域
'chang'zhi'long'lu 长肢龙鹿
'chao'da'xing'jun'tuan'guan'li'pei'xun 超大型军团管理培训
'chao'fu'hua 超氟化
'chao'ji'he'dao'hang'xue 超几何导航学
'chao'ou'lian'hui'xian'wei 超偶联会纤维
'chao'shi'kuang 超噬矿
'chao'wang'luo'ke'xue 超网络科学
'chao'xin'xing'nuo'ke'shi 超新星诺克石
'chao'zai'zhu'pen'xi'tong 超载注喷系统
'che'lie'en 彻列恩
'chi'da'fu 赤达夫
'chuan'gan'qi'lian'yan'jiu 传感器链研究
'chuan'suo'ji 穿梭机
