'an'hai'jing'shi 暗海晶石
'an'niu 按钮
'an'shan'yan 安山岩
'ban'xian 绊线
'ban'xian'gou 绊线钩
'bao'hu 保护
'bao'mao 豹猫
'bao'zha'bao'hu 爆炸保护
'bei'ji'huo'de'zhong'ji'qi 被激活的中继器
'bi'jiao'qi 比较器
'bian'jing'zhi'di 边境之地
'bian'yan'gan'ying'qi 边沿感应器
'biao'mian 表面
'bing'ci 冰刺
'bo'li 玻璃
'bo'li'ban 玻璃板
'bo'li'ping 玻璃瓶
'bu'liao 布料
'cao'cong 草丛
'cao'fang'kuai 草方块
'cao'jing 草径
'ce'zhong 测重
'chang'pian'ji 唱片机
'chao'ping'tan 超平坦
'cheng'se'ran'liao 橙色染料
'cheng'shu 成书
'chi'lun 齿轮
'chong'ji 冲击
'chong'neng 充能
'chong'neng'deng'ji 充能等级
'chong'neng'tie'gui 充能铁轨
'chu'fa'qi 触发器
'chuan'shu'xian 传输线
'chuang'zao'mo'shi 创造模式
'cong'lin'shen'miao 丛林神庙
'cun'zhuang 村庄
'da'huo'shi 打火石
'dan'gao 蛋糕
'dan'hui'se'ran'liao 淡灰色染料
'dan'lan'se'ran'liao 淡蓝色染料
'dang'zhu'fei'de'shi'hou 当猪飞的时候
'deng'long 灯笼
'di'biao 地表
'di'lao 地牢
'di'tan 地毯
'di'tu 地图
'di'tu'lei'xing 地图类型
'di'tu'xing'zhuang 地图形状
'di'tu'zhu'ti 地图主题
'di'xing 地形
'di'yu'yan 地狱岩
'di'yu'you 地狱疣
'di'yu'zhuan'kuai 地狱砖块
'di'yu'zhuan'zha'lan 地狱砖栅栏
'dian'dong'ji'xie 电动机械
'dian'yuan 电源
'diao'ling 凋灵
'diao'ling'ku'lou 凋灵骷髅
'diao'ling'ku'lou'tou'lu 凋灵骷髅头颅
'diao'yu'gan 钓鱼竿
'dong'li'kuang'che 动力矿车
'dong'tian'mo'shi 冬天模式
'dong'xue 洞穴
'dong'xue'zhi'zhu 洞穴蜘蛛
'dou'niu'shi 斗牛士
'du'chong 蠹虫
'du'ma'ling'shu 毒马铃薯
'duo'qi'mo'shi 夺旗模式
'duo'ren'lian'ji 多人联机
'duo'shu'ru'dian'lu 多输入电路
'e'hun 恶魂
'e'hun'zhi'lei 恶魂之泪
'er'diao 饵钓
'fa'guang'de'hei'yao'shi 发光的黑曜石
'fa'guang'de'hong'shi'deng 发光的红石灯
'fa'guang'de'hong'shi'kuang'shi 发光的红石矿石
'fa'jiao'zhu'yan 发酵蛛眼
'fa'she'qi 发射器
'fa'she'qi'kuang'che 发射器矿车
'fan'xiang'qi 反相器
'fan'xiang'yang'guang'chuan'gan'qi 反向阳光传感器
'fang'da'hua 放大化
'fang'kuai 方块
'fang'kuai'geng'xin'gan'ying'qi 方块更新感应器
'fang'zhi'fang'kuai 放置方块
'fei'men 非门
'fei'qi'kuang'jing 废弃矿井
'fei'tou'ming'fang'kuai 非透明方块
'fen'hong'se'ran'liao 粉红色染料
'feng'li 锋利
'fu'bing 浮冰
'fu'dao 浮岛
'fu'mo 附魔
'fu'mo'shu 附魔书
'fu'mo'tai 附魔台
'fu'mo'zhi'ping 附魔之瓶
'fu'rou 腐肉
'gan'cao'kuai 干草块
'gan'zhe 甘蔗
'gao'shi'pai 告示牌
'ge'gao'dian'lu 格高电路
'ge'kuan'dian'lu 格宽电路
'geng'di 耕地
'gong'zuo'tai 工作台
'gu'ding'nan'du 固定难度
'gu'fen 骨粉
'gu'tou 骨头
'guai'wu'dan 怪物蛋
'guai'wu'lie'ren 怪物猎人
'hai'ba'gao'du 海拔高度
'hai'di'yi'ji 海底遗迹
'hai'jing'deng 海晶灯
'hai'jing'sha'li 海晶砂粒
'hai'jing'shi 海晶石
'hai'jing'shi'zhuan 海晶石砖
'hai'jing'sui'pian 海晶碎片
'hai'mian 海绵
'hai'tan 海滩
'hai'zhi'juan'gu 海之眷顾
'he'cheng 合成
'he'tun 河豚
'hei'shi'di'fu 黑史蒂夫
'hei'yao'shi 黑曜石
'hei'yao'shi'ping'tai 黑曜石平台
'hei'yao'shi'qiang 黑曜石墙
'hei'yao'shi'zhu 黑曜石柱
'hong'bao'shi 红宝石
'hong'bao'shi'kuang'shi 红宝石矿石
'hong'sha 红沙
'hong'sha'shi 红沙石
'hong'shi 红石
'hong'shi'bi'jiao'qi 红石比较器
'hong'shi'deng 红石灯
'hong'shi'fen 红石粉
'hong'shi'ke 红石刻
'hong'shi'kuai 红石块
'hong'shi'kuang'shi 红石矿石
'hong'shi'xin'hao 红石信号
'hong'shi'yuan'jian 红石元件
'hong'shi'zhong'ji'qi 红石中继器
'hong'zhuan 红砖
'hu'luo'bo 胡萝卜
'hu'po 湖泊
'hu'tui 护腿
'hua'gang'yan 花岗岩
'hua'pen 花盆
'huang'lv'se'ran'liao 黄绿色染料
'hui'hua'tu 灰化土
'hui'se'ran'liao 灰色染料
'huo'ba 火把
'huo'ban'men 活板门
'huo'men 或门
'huo'sai 活塞
'huo'sai'bi 活塞臂
'huo'sai'shi'zhong 活塞时钟
'huo'shi 火矢
'huo'yan'bao'hu 火焰保护
'huo'yan'dan 火焰弹
'huo'yan'fu'jia 火焰附加
'huo'yao 火药
'ji'dan 鸡蛋
'ji'dian'qi 继电器
'ji'e 饥饿
'ji'huo'tie'gui 激活铁轨
'ji'qi'shi 鸡骑士
'ji'shu'qi 计数器
'ji'tui 击退
'ji'xian'mo'shi 极限模式
'ji'xie'zhuang'zhi 机械装置
'ji'yan 基岩
'ji'yi'dian'lu 记忆电路
'jian'ci'fang'kuai 尖刺方块
'jian'dai 箭袋
'jian'dao 剪刀
'jian'zhu'wu 建筑物
'jiang'shi 僵尸
'jiang'shi'cun'min 僵尸村民
'jiang'shi'de'tou 僵尸的头
'jiang'shi'ma 僵尸马
'jiang'shi'zhu'ren 僵尸猪人
'jiang'xue 降雪
'jiang'yu 降雨
'jie'zhi'sha'shou 节肢杀手
'jin'ding 金锭
'jin'kuai 金块
'jin'kuang'shi 金矿石
'jin'li 金粒
'jin'luo'bo 金萝卜
'jin'ping'guo 金苹果
'jing'ji 荆棘
'jing'yin'dian'lu 静音电路
'jing'zhun'cai'ji 精准采集
'jiu'shi'jie'lei'xing 旧世界类型
'ju'ji'shou'de'dui'jue 狙击手的对决
'ju'ren 巨人
'ju'xing'jie'gou 巨型结构
'ju'xing'mo'gu 巨型蘑菇
'ju'xing'sheng'wu'qun'xi 巨型生物群系
'jun'si 菌丝
'kai'guan 开关
'kai'shi'le 开始了
'ke'bing'lie'dian'lu 可并列电路
'ke'dui'die'dian'lu 可堆叠电路
'ke'ke'dou 可可豆
'ke'ke'guo 可可果
'ke'zai'sheng'zi'yuan 可再生资源
'kong'di'tu 空地图
'kong'qi 空气
'ku'lou 骷髅
'ku'lou'ma 骷髅马
'ku'lou'tou'lu 骷髅头颅
'ku'qi'de'hei'yao'shi 哭泣的黑曜石
'ku'si'de'guan'mu 枯死的灌木
'kuang'che 矿车
'kuang'mai 矿脉
'kuang'shi 矿石
'kuang'shi'kuai 矿石块
'kui'jia'jia 盔甲架
'la'gan 拉杆
'la'na 拉娜
'lei'bao 雷暴
'li'ji'xiang'ying'dian'lu 立即响应电路
'li'liang 力量
'lian'jia 链甲
'lian'yao'guo 炼药锅
'lie'shi'zhuan 裂石砖
'lie'yan'bang 烈焰棒
'lie'yan'fen 烈焰粉
'lie'yan'ren 烈焰人
'ling'hun'sha 灵魂沙
'liu'dong'de'shui 流动的水
'liu'dong'de'yan'jiang 流动的岩浆
'long'dan 龙蛋
'lou'dou 漏斗
'lou'dou'kuang'che 漏斗矿车
'lou'dou'shi'zhong 漏斗时钟
'lou'ti 楼梯
'luo'bo'diao'gan 萝卜钓竿
'luo'ji'dian'lu 逻辑电路
'lv'bao'shi 绿宝石
'lv'bao'shi'kuai 绿宝石块
'lv'bao'shi'kuang'shi 绿宝石矿石
'lv'se'chang'pao'cun'min 绿色长袍村民
'ma'an 马鞍
'ma'kai 马铠
'ma'ling'shu 马铃薯
'mai'chong 脉冲
'mai'chong'chang'du'shi'bie'qi 脉冲长度识别器
'mai'chong'dian'lu 脉冲电路
'mai'chong'fa'sheng'qi 脉冲发生器
'mai'chong'wen'ding'qi 脉冲稳定器
'mai'chong'xian'zhi'qi 脉冲限制器
'mai'chong'yan'chi 脉冲延迟
'mao'xian'mo'shi 冒险模式
'mei'gui 玫瑰
'mei'gui'hong 玫瑰红
'mei'kuang'shi 煤矿石
'mei'tan 煤炭
'mei'tan'kuai 煤炭块
'mian'bao 面包
'ming'ling'fang 命令方
'ming'ling'fang'kuai'kuang'che 命令方块矿车
'ming'ming'pai 命名牌
'mo'di'chuan'song'men 末地传送门
'mo'di'chuan'song'men'fang'kuai 末地传送门方块
'mo'di'chuan'song'men'kuang'jia 末地传送门框架
'mo'di'shi 末地石
'mo'gu 蘑菇
'mo'gu'bao 蘑菇煲
'mo'lu'zhi'di 末路之地
'mo'nang 墨囊
'mo'ren'shi'jie'lei'xing 默认世界类型
'mo'ying'long 末影龙
'mo'ying'man 末影螨
'mo'ying'ren 末影人
'mo'ying'xiang 末影箱
'mo'ying'zhen'zhu 末影珍珠
'mo'ying'zhi'yan 末影之眼
'mo'zhi'an'shan'yan 磨制安山岩
'mo'zhi'hua'gang'yan 磨制花岗岩
'mo'zhi'shan'chang'yan 磨制闪长岩
'mu'ban 木板
'mu'gun 木棍
'mu'tan 木炭
'mu'tou 木头
'nai'jiu 耐久
'nan'gua 南瓜
'nan'gua'deng 南瓜灯
'nan'gua'geng 南瓜梗
'nan'gua'pai 南瓜派
'nan'gua'zhong'zi 南瓜种子
'ni'tu 泥土
'ni'tu'tai'jie 泥土台阶
'nian'tu 粘土
'nian'tu'kuai 粘土块
'nian'xing'huo'sai 粘性活塞
'nian'ye'kuai 粘液块
'nian'ye'qiu 粘液球
'niang'zao 酿造
'niang'zao'tai 酿造台
'niu'nai 牛奶
'niu'pai 牛排
'nv'wu 女巫
'pa'xing'zhe 爬行者
'pa'xing'zhe'de'tou 爬行者的头
'pen'di 盆地
'pen'jian'yao'shui 喷溅药水
'pi'ge 皮革
'pi'ge'lian'jia 皮革链甲
'pin'hong'se'ran'liao 品红色染料
'ping'guo 苹果
'ping'hua'sha'shi 平滑沙石
'ping'mian'dian'lu 平面电路
'ping'zhang 屏障
'po'huai'fang'kuai 破坏方块
'pu'gong'ying 蒲公英
'qi'zhi 旗帜
'qiang'chong'neng 强充能
'qiang'duo 抢夺
'qing'hua 青花
'qing'jin'shi 青金石
'qing'jin'shi'kuai 青金石块
'qing'jin'shi'kuang'shi 青金石矿石
'qing'se'ran'liao 青色染料
'qu'kuai 区块
'qu'qi 曲奇
'ran'se 染色
'ran'se'mu'ban 染色木板
'ran'se'nian'tu 染色粘土
'ran'shao'de'rong'lu 燃烧的熔炉
'ren'lei 人类
'ren'zao 人造
'ri'ye'jiao'ti 日夜交替
'ruo'chong'neng 弱充能
'sha'li 沙砾
'sha'mo'shen'dian 沙漠神殿
'sha'mo'shui'jing 沙漠水井
'sha'shi 沙石
'sha'tu 砂土
'sha'zi 沙子
'shan'chang'yan 闪长岩
'shan'hu 珊瑚
'shan'mai 山脉
'shan'qiu 山丘
'shan'shuo'de'xi'gua 闪烁的西瓜
'shang'suo'de'xiang'zi 上锁的箱子
'shao'lian 烧炼
'shao'yao 芍药
'shen'hai'tan'suo'zhe 深海探索者
'sheng'cun'ce'shi 生存测试
'sheng'cun'mo'shi 生存模式
'sheng'gui'yu 生鲑鱼
'sheng'ji'rou 生鸡肉
'sheng'ming'zhi 生命值
'sheng'niu'rou 生牛肉
'sheng'tai'de'ju'shi 生苔的巨石
'sheng'tu'rou 生兔肉
'sheng'wu 生物
'sheng'wu'qun'xi 生物群系
'sheng'yang'rou 生羊肉
'sheng'yu 生鱼
'sheng'zhu'pai 生猪排
'shi'bo'qi 示波器
'shi'cai'qie'ge'ji 石材切割机
'shi'di'fu 史蒂夫
'shi'hai'mian 湿海绵
'shi'jie'bian'jie 世界边界
'shi'jie'jie'xian 世界界限
'shi'lai'mu 史莱姆
'shi'ti 实体
'shi'tou 石头
'shi'ying'kuai 石英块
'shi'yong'fang'kuai 实用方块
'shi'yun 时运
'shi'zhong'dian'lu 时钟电路
'shi'zhuan 石砖
'shou'wei'zhe 守卫者
'shu'gui'yu 熟鲑鱼
'shu'ji'rou 熟鸡肉
'shu'jia 书架
'shu'ju'fen'pei'qi 数据分配器
'shu'miao 树苗
'shu'mu 树木
'shu'tu'rou 熟兔肉
'shu'wen'shi'ying'kuai 竖纹石英块
'shu'yang'rou 熟羊肉
'shu'ye 树叶
'shu'yu'bi 书与笔
'shu'zhi 树枝
'shu'zhu'pai 熟猪排
'shua'guai'xiang 刷怪箱
'shuai'luo'bao'hu 摔落保护
'shuan'sheng 拴绳
'shui'lian 睡莲
'shui'tong 水桶
'shui'xia'hu'xi 水下呼吸
'shui'xia'su'jue 水下速掘
'si'wang'chong'sheng 死亡重生
'sui'ji'xin'hao'fa'sheng'qi 随机信号发生器
'sui'shi 燧石
'suo'cun'qi 锁存器
'tai'jie 台阶
'tai'shi 苔石
'tai'shi'zhuan 苔石砖
'tai'yang 太阳
'tan'ce'tie'gui 探测铁轨
'tan'she'wu'bao'hu 弹射物保护
'teng'wan 藤蔓
'ti'zi 梯子
'tian'cai 甜菜
'tian'cai'gen 甜菜根
'tian'cai'tang 甜菜汤
'tian'cai'zhong'zi 甜菜种子
'tian'kong 天空
'tian'ran'xing'cheng 天然形成
'tiao'shi'mo'shi 调试模式
'tie'ding 铁锭
'tie'gui 铁轨
'tie'kuai 铁块
'tie'kuang'shi 铁矿石
'tie'kui'lei 铁傀儡
'tie'lan'gan 铁栏杆
'tie'zhen 铁砧
'tou'kui 头盔
'tou'zhi'qi 投掷器
'tu'rou'bao 兔肉煲
'tu'zi'jiao 兔子脚
'tu'zi'pi 兔子皮
'wan'jia 玩家
'wang'ling'sha'shou 亡灵杀手
'wei'du 维度
'wu'pin 物品
'wu'pin'lan 物品栏
'wu'pin'zhan'shi'kuang 物品展示框
'wu'xian 无限
'wu'xian'fang'kuai 无限方块
'wu'xian'shui'yuan 无限水源
'wu'xian'yan'jiang'yuan 无限岩浆源
'xi'gua 西瓜
'xi'gua'geng 西瓜梗
'xi'gua'pian 西瓜片
'xi'gua'zhong'zi 西瓜种子
'xi'mie'de'hong'shi'huo'ba 熄灭的红石火把
'xia'gu 峡谷
'xia'jie 下界
'xia'jie'chuan'song'men 下界传送门
'xia'jie'chuan'song'men'fang'kuai 下界传送门方块
'xia'jie'fan'ying'he 下界反应核
'xia'jie'fan'ying'qi 下界反应器
'xia'jie'shi'ying 下界石英
'xia'jie'shi'ying'kuang'shi 下界石英矿石
'xia'jie'yao'sai 下界要塞
'xia'jie'zhi'xing 下界之星
'xian'jing'xiang 陷阱箱
'xian'ren'zhang 仙人掌
'xian'ren'zhang'lv 仙人掌绿
'xiang'ji 相机
'xiang'zi 箱子
'xiao'chou'yu 小丑鱼
'xiao'lv 效率
'xiao'mai 小麦
'xiao'mai'zhong'zi 小麦种子
'xiao'xing'jie'gou 小型结构
'xie'dai'ban'ping'zhang 携带版屏障
'xin'biao 信标
'xin'biao'jin'zi'ta 信标金字塔
'xiong'jia 胸甲
'xu'kong 虚空
'xue'kuai 雪块
'xue'kui'lei 雪傀儡
'xue'qiu 雪球
'xue'zi 靴子
'ya'li'ban 压力板
'yan'hua'huo'jian 烟花火箭
'yan'huo'zhi'xing 烟火之星
'yan'jiang 岩浆
'yan'jiang'gao 岩浆膏
'yan'jiang'guai 岩浆怪
'yan'jiang'hai 岩浆海
'yan'jiang'tong 岩浆桶
'yang'guang'chuan'gan'qi 阳光传感器
'yang'mao 羊毛
'yao'sai 要塞
'yao'shui 药水
'ye'shou'xiao'zi 野兽小子
'ye'ti 液体
'yi'dong'de'huo'sai'bi 移动的活塞臂
'yi'zi 椅子
'yin'fu'he 音符盒
'yin'xing'dian'lu 隐形电路
'yin'yue'chang'pian 音乐唱片
'ying'hua'nian'tu 硬化粘土
'ying'shi'dui 萤石堆
'ying'shi'fen 萤石粉
'ying'shi'kuai 萤石块
'yong'quan 涌泉
'you'xi'geng'xin'fang'kuai 游戏更新方块
'yu'lan'ban 预览版
'yu'lan'ban'ben 预览版本
'yu'mao 羽毛
'yu'men 与门
'yuan'gu'shou'wei'zhe 远古守卫者
'yuan'shi 圆石
'yuan'shi'qiang 圆石墙
'yue'liang 月亮
'yun'shu'kuang'che 运输矿车
'za'xiang'dian'lu 杂项电路
'zan'zhi'sha'shi 錾制沙石
'zan'zhi'shi'ying'kuai 錾制石英块
'zan'zhi'shi'zhuan 錾制石砖
'zha'lan 栅栏
'zha'lan'men 栅栏门
'zhao'ze'xiao'wu 沼泽小屋
'zheng'shi'ban 正式版
'zhi'nan'zhen 指南针
'zhi'wu 植物
'zhi'zhu 蜘蛛
'zhi'zhu'qi'shi 蜘蛛骑士
'zhi'zhu'wang 蜘蛛网
'zhi'zhu'yan 蜘蛛眼
'zhong'ji'qi 中继器
'zhong'ji'qi'shi'zhong 中继器时钟
'zhong'mo'zhi'chi 终末之池
'zhong'qun'hui'fu 种群恢复
'zhong'zi 种子
'zhu'shi'jie 主世界
'zhuan'kuai 砖块
'zhuan'kuai'jin'zi'ta 砖块金字塔
'zhuang'shi'pin 装饰品
'zi'ding'yi 自定义
'zi'se'ran'liao 紫色染料
