'an'he'se 暗褐色
'an'huang'de'lian 暗黄的脸
'bai'bai'jing'jing 白白净净
'bai'jing 白净
'bai'jing'rou'nen 白净柔嫩
'bai'la 白蜡
'bai'li'tou'hong 白里透红
'bai'lian 白脸
'bai'nen 白嫩
'bai'xi 白皙
'bai'yu 白玉
'bao'mi'lian 苞米脸
'bian'lian 扁脸
'bian'ping'lian 扁平脸
'bing'huang 病黄
'bing'rong 病容
'cai'se 菜色
'can'bai 惨白
'cang'bai 苍白
'cang'bai'de'lian 苍白的脸
'chang'fang'lian 长方脸
'chang'xiang 长相
'chao'hong 潮红
'chi'hei 赤黑
'chi'hong 赤红
'chou'mei'ku'lian 愁眉苦脸
'chou'yun'man'mian 愁云满面
'da'hua'lian 大花脸
'e'dan'lian 鹅蛋脸
'fang'lian 方脸
'fang'mian'da'er 方面大耳
'fei'hong 飞红
'fei'hong 绯红
'fei'se 妃色
'fen'bai 粉白
'fen'bu'ji'ji 粉不叽叽
'fen'dan'dan 粉丹丹
'fen'du'du 粉嘟嘟
'fen'hong 粉红
'fen'hong'lian 粉红脸
'fen'hu'hu 粉乎乎
'fen'lian 粉脸
'fen'lian'han'chun 粉脸含春
'fen'mian'tao'sai 粉面桃腮
'fen'pu'pu 粉扑扑
'fen'run'run 粉润润
'fen'tuan'tuan 粉团团
'fen'ying'ying 粉盈盈
'fu'zhong'de'lian 浮肿的脸
'gu'tong'se 古铜色
'gua'zi'lian 瓜子脸
'guai'lian 怪脸
'guo'zi'lian 国字脸
'he'se 褐色
'he'yan'yue'se 和颜悦色
'hei'bu'liu'qiu 黑不溜秋
'hei'hong 黑红
'hei'hu'hu 黑乎乎
'hei'huang'se 黑黄色
'hei'li'tou'hong 黑里透红
'hei'se 黑色
'hong'bai'xiang'jian 红白相间
'hong'du'du 红嘟嘟
'hong'guang'man'mian 红光满面
'hong'li'se 红栗色
'hong'lian 红脸
'hong'lian'dan 红脸蛋
'hong'pen'pen 红喷喷
'hong'pu'pu 红扑扑
'hong'run 红润
'hong'run'run 红润润
'hong'tang'tang 红堂堂
'hong'teng'teng 红腾腾
'hong'tong'se 红铜色
'hong'tong'tong 红彤彤
'hong'yun 红晕
'hong'yun'xiao'shi 红晕消失
'hong'zhong'tou'hei 红中透黑
'hong'zhong'tou'zi 红中透紫
'hou'zi'lian 猴子脸
'hu'tou'hu'nao 虎头虎脑
'hua'hong 花红
'huang'he'se 黄褐色
'huang'li'tou'qing 黄里透青
'huang'lian 黄脸
'huang'shou 黄瘦
'hui'bai 灰白
'hui'huang 灰黄
'ji'se 饥色
'jian'lian 尖脸
'jian'xia'ba 尖下巴
'jiang'zi'se 酱紫色
'jiao'huang 焦黄
'jiong'hong 窘红
'jiu'hong 酒红
'jiu'wo 酒窝
'jiu'ye 酒靥
'kou'hong 口红
'kui'se 愧色
'la'huang 蜡黄
'la'huang'de'lian 蜡黄的脸
'leng'jun 冷峻
'li'hei 黎黑
'li'hei 黧黑
'lian'dan 脸蛋
'lian'dan'er 脸蛋儿
'lian'dan'zi 脸蛋子
'lian'er'hun'yuan 脸儿浑圆
'lian'er'yun'hong 脸儿晕红
'lian'hong 脸红
'lian'jia 脸颊
'lian'mian 脸面
'lian'pan'er 脸盘儿
'lian'pang 脸庞
'lian'pang'er 脸庞儿
'lian'pang'miao'xie'ci 脸庞描写词
'lian'pang'qing'xiu 脸庞清秀
'lian'ru'mei'gui 脸如玫瑰
'lian'se 脸色
'lian'se'can'bai 脸色惨白
'lian'se'cang'bai 脸色苍白
'lian'se'gan'huang 脸色干黄
'lian'se'hong'run 脸色红润
'lian'se'hui'huang 脸色灰黄
'lian'se'la'huang 脸色蜡黄
'lian'se'ru'la 脸色如蜡
'lian'se'sha'bai 脸色煞白
'lian'se'tie'qing 脸色铁青
'lian'se'you'hei 脸色黝黑
'lian'tang 脸膛
'lian'tang'chi'hei 脸膛赤黑
'lian'tang'er 脸膛儿
'lian'tang'zong'hong 脸膛棕红
'liang'jia 两颊
'liang'jia'fei'hong 两颊绯红
'lv'mian 驴面
'ma'lian 马脸
'ma'lian 麻脸
'ma'mian 马面
'man'lian'heng'rou 满脸横肉
'man'lian'hu'cha 满脸胡茬
'man'mian'chun'feng 满面春风
'man'mian'hong'guang 满面红光
'mei'gui'hong 玫瑰红
'mei'yan'gao'di 眉眼高低
'mian'hong'er'chi 面红耳赤
'mian'huang'ji'shou 面黄肌瘦
'mian'jia 面颊
'mian'kong 面孔
'mian'kuo'kou'fang 面阔口方
'mian'mao 面貌
'mian'mu 面目
'mian'pang 面庞
'mian'pang'bai'jing 面庞白净
'mian'rong 面容
'mian'rong'qiao'cui 面容憔悴
'mian'rong'qing'qu 面容清癯
'mian'rong'qing'shou 面容清瘦
'mian'ru'cai'se 面如菜色
'mian'ru'tu'se 面如土色
'mian'ru'zhong'zao 面如重枣
'mian'ruo'e'luan 面若鹅卵
'mian'ruo'fu'zhu 面若傅朱
'mian'ruo'fu'zhu 面若敷朱
'mian'ruo'yin'pen 面若银盆
'mian'se 面色
'mian'se'hui'huang 面色灰黄
'mian'wu'xue'se 面无血色
'mian'yan 面颜
'mian'you'nan'se 面有赧色
'mo'mian 墨面
'mu'ran 木然
'mu'yang 模样
'nan'se 难色
'pang'lian 胖脸
'pi'pao'lian'zhong 皮泡脸肿
'ping'guo'lian 苹果脸
'ping'tou'zheng'lian 平头正脸
'qi'se 气色
'qing'huang 青黄
'qing'hui'se 青灰色
'qiong'suan'xiang 穷酸相
'quan'gu'gao'song 颧骨高耸
'rong'guang 容光
'rong'guang'huan'fa 容光焕发
'rong'mao 容貌
'rong'yan 容颜
'rong'yan'cang'lao 容颜苍老
'rong'yan'ku'gao 容颜枯槁
'rou'hong 肉红
'rou'se 肉色
'sai'bang'zi 腮帮子
'sai'hong 腮红
'sai'jia 腮颊
'sai'jia'wo'bie 腮颊窝瘪
'san'jiao'lian 三角脸
'shen'cai 神采
'shen'cai'fei'yang 神采飞扬
'shen'cai'yi'yi 神采奕奕
'shen'qi 神气
'shen'qing 神情
'shen'se 神色
'shen'tai 神态
'sheng'se 声色
'shou'hou'lian 瘦猴脸
'shou'huang 瘦黄
'shou'lian 瘦脸
'si'fang'lian 四方脸
'si'fang'lian'tang 四方脸膛
'tao'hua'lian 桃花脸
'tao'se 桃色
'tie'qing 铁青
'tong'hong 通红
'tou'hong 透红
'tu'hong'se 土红色
'tuo'yuan 椭圆
'tuo'yuan'lian 椭圆脸
'wa'dao'lian 瓦刀脸
'wa'wa'lian 娃娃脸
'wei'hei 微黑
'wu'guan'duan'zheng 五官端正
'wu'mei 妩媚
'xi'xiao'yan'kai 喜笑颜开
'xi'xing'yu'se 喜形于色
'xia'ba 下巴
'xia'ba'ke'er 下巴颏儿
'xia'he 下颌
'xiang'mao 相貌
'xiao'wo 笑涡
'xiao'wo 笑窝
'xiao'ye 笑靥
'xing'lian'tao'sai 杏脸桃腮
'xing'ren'xiao'lian 杏仁小脸
'xing'sai'tao'lian 杏腮桃脸
'xiu'hong 羞红
'ya'dan'lian 鸭蛋脸
'yan'mian 颜面
'yan'zhi'hong 胭脂红
'yang'hong 洋红
'yang'wa'wa 洋娃娃
'yi'rong 仪容
'yin'pen'lian 银盆脸
'you'hei 黝黑
'yu'yan 玉颜
'yuan'hu'hu 圆乎乎
'yuan'lian 圆脸
'zao'hong'lian 枣红脸
'zhang'lian 长脸
'zhang'lian'tang 长脸膛
'zhu'yan 朱颜
'zi'hong 紫红
'zi'rong 姿容
'zun'rong 尊容
