'nian'duo'tang 粘多糖
'nian'mo'kui'yang 粘膜溃疡
'xie'sai'tong 血塞通
'xuan'yun'ning 眩晕宁
'xue'an 血安
'xue'bao 血宝
'xue'bao'chang'rong 血宝肠溶
'xue'bi'jing 血必净
'xue'dan'jie'du 雪胆解毒
'xue'dan'wei'chang 雪胆胃肠
'xue'de'kang 血得康
'xue'fu'sheng 血复生
'xue'fu'zhu'yu 血府逐瘀
'xue'ha'da'bu'su 雪哈大补素
'xue'ha'ling'zhi 雪哈灵芝
'xue'jiang'dan'bai 血浆蛋白
'xue'jiang'dan'bai'jian'ce'shi'ji 血浆蛋白检测试剂
'xue'jing 血净
'xue'kang 血康
'xue'li'zhi'ke 雪梨止咳
'xue'lian 雪莲
'xue'lian'chong'cao 雪莲虫草
'xue'lian'gui'qi 雪莲归芪
'xue'mai'qing 血脉清
'xue'mai'tong 血脉通
'xue'mai'xin 血脉欣
'xue'mei'an 血美安
'xue'niao 血尿
'xue'niao'an 血尿安
'xue'ning 血凝
'xue'ning 血宁
'xue'ning'an'ji'pa'er'tang'jiang 血宁安吉杷尔糖浆
'xue'ping 血平
'xue'shan'jin'luo'han'zhi'tong 雪山金罗汉止痛
'xue'shan'wei'bao 雪山胃宝
'xue'shang'hua 雪上花
'xue'shang'yi'zhi'hao 雪上一枝蒿
'xue'shang'yi'zhi'hao'zong'jian 雪上一枝蒿总碱
'xue'sheng 血生
'xue'shuan'tong 血栓通
'xue'shuan'xin'mai'ning 血栓心脉宁
'xue'su'sheng 血速升
'xue'ya'an 血压安
'xue'ya'ping 血压平
'xue'yu'tong 血瘀通
'xue'zhi'kang 血脂康
'xue'zhi'ling 血脂灵
'xue'zhi'ning 血脂宁
'xue'zhi'ping 血脂平
'xue'zhi'tong 血滞通
'ya'an'kun 亚胺醌
'ya'bao'li'ke 亚宝力可
'ya'dan'zi'you 鸦胆子油
'ya'jiao'ha'dun 雅叫哈顿
'ya'jie 雅解
'ya'liu'suan'na 亚硫酸钠
'ya'ma'you 亚麻油
'ya'min'jiao'bu 压敏胶布
'ya'shen'suan'jia 亚砷酸钾
'ya'tong'le 牙痛乐
'ya'tong'ning 牙痛宁
'ya'tong'rong'ye 牙痛溶液
'ya'tong'yi'li 牙痛一粒
'ya'xi'shuang'ban'guang'an'suan 亚锡双半胱氨酸
'ya'xi'ya'suan 亚细亚酸
'ya'xi'ya'zao'dai 亚细亚皂甙
