'ban'bo'de'qie'zhi'tong'kuai 斑驳的切制铜块
'ban'bo'de'qie'zhi'tong'tai'jie 斑驳的切制铜台阶
'ban'bo'de'tong'kuai 斑驳的铜块
'ban'bo'de'tong'lou'ti 斑驳的铜楼梯
'bao'zi'hua 孢子花
'bi'lei'zhen 避雷针
'bing'feng'shan'feng 冰封山峰
'cao'dian 草甸
'chan'gen'ni'tu 缠根泥土
'chang'pian'can'pian 唱片残片
'chui'gen 垂根
'cu'jin 粗金
'cu'jin'kuai 粗金块
'cu'tie 粗铁
'cu'tie'kuai 粗铁块
'cu'tong 粗铜
'cu'tong'kuai 粗铜块
'cui'fa'ti 催发体
'da'xing'chui'di'ye 大型垂滴叶
'da'xing'zi'jing'ya 大型紫晶芽
'di'shui'shi'cu 滴水石簇
'di'shui'shi'kuai 滴水石块
'di'shui'shi'zhui 滴水石锥
'du'juan'hua'cong 杜鹃花丛
'du'juan'shu 杜鹃树
'du'juan'shu'ye 杜鹃树叶
'fa'guang'di'yi 发光地衣
'fa'guang'jiang'guo 发光浆果
'fa'guang'mo'nang 发光墨囊
'fa'guang'you'yu 发光鱿鱼
'fan'mao'dong'xue 繁茂洞穴
'fang'jie'shi 方解石
'gan'ce'ti 感测体
'han'shui'ceng 含水层
'hei'an 黑暗
'hong'shu 红树
'hong'shu'gen 红树根
'hong'shu'lin'zhao'ze 红树林沼泽
'hong'shu'mu 红树木
'hong'shu'mu'an'niu 红树木按钮
'hong'shu'mu'ban 红树木板
'hong'shu'mu'lou'ti 红树木楼梯
'hong'shu'mu'men 红树木门
'hong'shu'mu'tai'jie 红树木台阶
'hong'shu'mu'ya'li'ban 红树木压力板
'hong'shu'mu'zha'lan 红树木栅栏
'hong'shu'shu'ye 红树树叶
'hong'shu'tai'sheng'miao 红树胎生苗
'hong'shu'yuan'mu 红树原木
'hui'xiang'sui'pian 回响碎片
'ji'xue'de'shan'po 积雪的山坡
'jian'qiao'shan'feng 尖峭山峰
'jian'shou'zhe 监守者
'jian'xiao'ti 尖啸体
'ke'dou 蝌蚪
'ke'dou'tong 蝌蚪桶
'kuang'mai 矿脉
'la'zhu 蜡烛
'luo'yan'shan'feng 裸岩山峰
'mei'xi'yuan 美西螈
'mei'xi'yuan'tong 美西螈桶
'ni'ba 泥巴
'ni'pi 泥坯
'ni'zhuan 泥砖
'ning'hui'yan 凝灰岩
'ping'hua'xuan'wu'yan 平滑玄武岩
'qiang'hua'shen'ban'yan 强化深板岩
'qie'zhi'tong'kuai 切制铜块
'qie'zhi'tong'tai'jie 切制铜台阶
'qing'cui'wa'ming'deng 青翠蛙明灯
'qing'wa 青蛙
'qing'wa'luan 青蛙卵
'qing'xin 轻心
'qu'pi'hong'shu'mu 去皮红树木
'qu'pi'hong'shu'yuan'mu 去皮红树原木
'rong'dong 溶洞
'shan'yang 山羊
'shan'yang'jiao 山羊角
'shen'an'zhi'yu 深暗之域
'shen'ban'yan 深板岩
'shen'ban'yan'yuan'shi 深板岩圆石
'shen'ceng'jin'kuang'shi 深层金矿石
'shen'ceng'lv'bao'shi'kuang'shi 深层绿宝石矿石
'shen'ceng'mei'kuang'shi 深层煤矿石
'shen'ceng'qing'jin'shi'kuang'shi 深层青金石矿石
'shen'ceng'tie'kuang'shi 深层铁矿石
'shen'ceng'tong'kuang'shi 深层铜矿石
'shen'ceng'zuan'shi'kuang'shi 深层钻石矿石
'sheng'kai'de'du'juan'hua'cong 盛开的杜鹃花丛
'sheng'kai'de'du'juan'shu'ye 盛开的杜鹃树叶
'tai'xian'di'tan 苔藓地毯
'tai'xian'kuai 苔藓块
'tie'kuang'mai 铁矿脉
'tong'ding 铜锭
'tong'kuai 铜块
'tong'kuang'mai 铜矿脉
'tong'kuang'shi 铜矿石
'tong'lou'ti 铜楼梯
'wa'ming'deng 蛙明灯
'wang'yuan'jing 望远镜
'xi'xue 细雪
'xi'xue'tong 细雪桶
'xiao'xing'chui'di'ye 小型垂滴叶
'xiao'xing'zi'jing'ya 小型紫晶芽
'xiu'shi'de'qie'zhi'tong'kuai 锈蚀的切制铜块
'xiu'shi'de'qie'zhi'tong'tai'jie 锈蚀的切制铜台阶
'xiu'shi'de'tong'kuai 锈蚀的铜块
'xiu'shi'de'tong'lou'ti 锈蚀的铜楼梯
'xue'lin 雪林
'xun'jie'qian'xing 迅捷潜行
'xun'sheng'shou'wei 循声守卫
'yang'hua'de'qie'zhi'tong'kuai 氧化的切制铜块
'yang'hua'de'qie'zhi'tong'tai'jie 氧化的切制铜台阶
'yang'hua'de'tong'kuai 氧化的铜块
'yang'hua'de'tong'lou'ti 氧化的铜楼梯
'you'ni'cui'fa'ti 幽匿催发体
'you'ni'gan'ce'ti 幽匿感测体
'you'ni'jian'xiao'ti 幽匿尖啸体
'you'ni'kuai 幽匿块
'you'ni'mai'luo 幽匿脉络
'yuan'gu'cheng'shi 远古城市
'yue'ling 悦灵
'zao'sheng'dong'xue 噪声洞穴
'zhan'ni'de'hong'shu'gen 沾泥的红树根
'zhe'guang'bo'li 遮光玻璃
'zhe'huang'wa'ming'deng 赭黄蛙明灯
'zhong'xing'zi'jing'ya 中型紫晶芽
'zhu'guang'wa'ming'deng 珠光蛙明灯
'zhui'su'zhi'zhen 追溯指针
'zi'jing'dong 紫晶洞
'zi'shui'jing'cu 紫水晶簇
'zi'shui'jing'kuai 紫水晶块
'zi'shui'jing'mu'yan 紫水晶母岩
'zi'shui'jing'sui'pian 紫水晶碎片
